openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-521
keygen-iters: 1000
keygen-wall-median-ns: 10400907.0
keygen-wall-mean-ns: 10469403.7
keygen-wall-std-ns: 427871.2
keygen-wall-p95-ns: 10669481.0
keygen-wall-p99-ns: 11370092.0
keygen-wall-ci95lo-ns: 10442884.0
keygen-wall-ci95hi-ns: 10495923.5
keygen-cyc-median: 561642.0
keygen-cyc-mean: 565340.0
keygen-persec: 96.1
sign-iters: 1000
sign-wall-median-ns: 11004556.0
sign-wall-mean-ns: 11036131.1
sign-wall-std-ns: 141654.4
sign-wall-p95-ns: 11174333.0
sign-wall-p99-ns: 11780574.0
sign-wall-ci95lo-ns: 11027351.3
sign-wall-ci95hi-ns: 11044910.9
sign-cyc-median: 594239.0
sign-cyc-mean: 595942.8
sign-persec: 90.9
verify-iters: 1000
verify-wall-median-ns: 8268370.0
verify-wall-mean-ns: 8291056.9
verify-wall-std-ns: 111688.6
verify-wall-p95-ns: 8342889.0
verify-wall-p99-ns: 8979722.0
verify-wall-ci95lo-ns: 8284134.4
verify-wall-ci95hi-ns: 8297979.5
verify-cyc-median: 446482.0
verify-cyc-mean: 447708.0
verify-persec: 120.9
size-key-bits: 521
size-pubkey-bytes: 133
size-signature-max-bytes: 139
