openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-521
keygen-iters: 1000
keygen-wall-median-ns: 10397667.0
keygen-wall-mean-ns: 10425906.6
keygen-wall-std-ns: 132481.0
keygen-wall-p95-ns: 10494000.0
keygen-wall-p99-ns: 11178593.0
keygen-wall-ci95lo-ns: 10417695.3
keygen-wall-ci95hi-ns: 10434117.9
keygen-cyc-median: 561468.0
keygen-cyc-mean: 562986.1
keygen-persec: 96.2
sign-iters: 1000
sign-wall-median-ns: 11000074.0
sign-wall-mean-ns: 11030104.6
sign-wall-std-ns: 138861.3
sign-wall-p95-ns: 11153000.0
sign-wall-p99-ns: 11811500.0
sign-wall-ci95lo-ns: 11021497.9
sign-wall-ci95hi-ns: 11038711.4
sign-cyc-median: 593996.0
sign-cyc-mean: 595617.0
sign-persec: 90.9
verify-iters: 1000
verify-wall-median-ns: 8278500.0
verify-wall-mean-ns: 8302610.1
verify-wall-std-ns: 118094.3
verify-wall-p95-ns: 8400166.0
verify-wall-p99-ns: 8985112.0
verify-wall-ci95lo-ns: 8295290.6
verify-wall-ci95hi-ns: 8309929.7
verify-cyc-median: 447029.0
verify-cyc-mean: 448331.0
verify-persec: 120.8
size-key-bits: 521
size-pubkey-bytes: 133
size-signature-max-bytes: 139
