openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-521
keygen-iters: 1000
keygen-wall-median-ns: 10397630.0
keygen-wall-mean-ns: 10400574.2
keygen-wall-std-ns: 14620.4
keygen-wall-p95-ns: 10419537.0
keygen-wall-p99-ns: 10479370.0
keygen-wall-ci95lo-ns: 10399668.0
keygen-wall-ci95hi-ns: 10401480.4
keygen-cyc-median: 561465.0
keygen-cyc-mean: 561623.9
keygen-persec: 96.2
sign-iters: 1000
sign-wall-median-ns: 11001519.0
sign-wall-mean-ns: 11004952.2
sign-wall-std-ns: 33693.4
sign-wall-p95-ns: 11015871.0
sign-wall-p99-ns: 11101074.0
sign-wall-ci95lo-ns: 11002863.9
sign-wall-ci95hi-ns: 11007040.6
sign-cyc-median: 594074.0
sign-cyc-mean: 594258.7
sign-persec: 90.9
verify-iters: 1000
verify-wall-median-ns: 8327074.0
verify-wall-mean-ns: 8331923.3
verify-wall-std-ns: 26273.3
verify-wall-p95-ns: 8351500.0
verify-wall-p99-ns: 8416408.0
verify-wall-ci95lo-ns: 8330294.9
verify-wall-ci95hi-ns: 8333551.7
verify-cyc-median: 449652.0
verify-cyc-mean: 449913.9
verify-persec: 120.1
size-key-bits: 521
size-pubkey-bytes: 133
size-signature-max-bytes: 139
