openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-521
keygen-iters: 1000
keygen-wall-median-ns: 10405907.0
keygen-wall-mean-ns: 10410458.7
keygen-wall-std-ns: 22864.8
keygen-wall-p95-ns: 10440389.0
keygen-wall-p99-ns: 10471500.0
keygen-wall-ci95lo-ns: 10409041.5
keygen-wall-ci95hi-ns: 10411875.8
keygen-cyc-median: 561912.0
keygen-cyc-mean: 562156.8
keygen-persec: 96.1
sign-iters: 1000
sign-wall-median-ns: 11006574.0
sign-wall-mean-ns: 11010433.0
sign-wall-std-ns: 24977.1
sign-wall-p95-ns: 11039278.0
sign-wall-p99-ns: 11058796.0
sign-wall-ci95lo-ns: 11008884.9
sign-wall-ci95hi-ns: 11011981.1
sign-cyc-median: 594347.0
sign-cyc-mean: 594554.9
sign-persec: 90.9
verify-iters: 1000
verify-wall-median-ns: 8314314.0
verify-wall-mean-ns: 8319115.2
verify-wall-std-ns: 19190.5
verify-wall-p95-ns: 8347352.0
verify-wall-p99-ns: 8364482.0
verify-wall-ci95lo-ns: 8317925.7
verify-wall-ci95hi-ns: 8320304.6
verify-cyc-median: 448963.0
verify-cyc-mean: 449221.9
verify-persec: 120.3
size-key-bits: 521
size-pubkey-bytes: 133
size-signature-max-bytes: 139
