openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-521
keygen-iters: 1000
keygen-wall-median-ns: 10405482.0
keygen-wall-mean-ns: 10435869.2
keygen-wall-std-ns: 140845.7
keygen-wall-p95-ns: 10494037.0
keygen-wall-p99-ns: 11326592.0
keygen-wall-ci95lo-ns: 10427139.5
keygen-wall-ci95hi-ns: 10444598.9
keygen-cyc-median: 561888.0
keygen-cyc-mean: 563529.9
keygen-persec: 96.1
sign-iters: 1000
sign-wall-median-ns: 11001241.0
sign-wall-mean-ns: 11031657.9
sign-wall-std-ns: 138848.5
sign-wall-p95-ns: 11160815.0
sign-wall-p99-ns: 11778167.0
sign-wall-ci95lo-ns: 11023052.0
sign-wall-ci95hi-ns: 11040263.8
sign-cyc-median: 594059.0
sign-cyc-mean: 595701.0
sign-persec: 90.9
verify-iters: 1000
verify-wall-median-ns: 8350240.0
verify-wall-mean-ns: 8372988.4
verify-wall-std-ns: 114038.4
verify-wall-p95-ns: 8402852.0
verify-wall-p99-ns: 9048648.0
verify-wall-ci95lo-ns: 8365920.2
verify-wall-ci95hi-ns: 8380056.5
verify-cyc-median: 450904.0
verify-cyc-mean: 452131.4
verify-persec: 119.8
size-key-bits: 521
size-pubkey-bytes: 133
size-signature-max-bytes: 139
