openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdh-P-384
keygen-iters: 1000
keygen-wall-median-ns: 4010370.0
keygen-wall-mean-ns: 4023215.7
keygen-wall-std-ns: 71525.1
keygen-wall-p95-ns: 4033778.0
keygen-wall-p99-ns: 4431518.0
keygen-wall-ci95lo-ns: 4018782.6
keygen-wall-ci95hi-ns: 4027648.9
keygen-cyc-median: 216552.0
keygen-cyc-mean: 217245.8
keygen-persec: 249.4
derive-iters: 1000
derive-wall-median-ns: 3936278.0
derive-wall-mean-ns: 3937596.4
derive-wall-std-ns: 14467.8
derive-wall-p95-ns: 3942685.0
derive-wall-p99-ns: 3964685.0
derive-wall-ci95lo-ns: 3936699.7
derive-wall-ci95hi-ns: 3938493.1
derive-cyc-median: 212552.0
derive-cyc-mean: 212622.3
derive-persec: 254.0
size-key-bits: 384
size-pubkey-bytes: 97
