openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdh-P-384
keygen-iters: 1000
keygen-wall-median-ns: 4010963.0
keygen-wall-mean-ns: 4013626.5
keygen-wall-std-ns: 8792.4
keygen-wall-p95-ns: 4032240.0
keygen-wall-p99-ns: 4048203.0
keygen-wall-ci95lo-ns: 4013081.5
keygen-wall-ci95hi-ns: 4014171.5
keygen-cyc-median: 216584.0
keygen-cyc-mean: 216728.0
keygen-persec: 249.3
derive-iters: 1000
derive-wall-median-ns: 3960444.0
derive-wall-mean-ns: 3961924.2
derive-wall-std-ns: 20385.0
derive-wall-p95-ns: 3995426.0
derive-wall-p99-ns: 4010352.0
derive-wall-ci95lo-ns: 3960660.7
derive-wall-ci95hi-ns: 3963187.7
derive-cyc-median: 213855.0
derive-cyc-mean: 213936.0
derive-persec: 252.5
size-key-bits: 384
size-pubkey-bytes: 97
