openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-512
keygen-iters: 1000
keygen-wall-median-ns: 104741.0
keygen-wall-mean-ns: 105255.4
keygen-wall-std-ns: 5266.8
keygen-wall-p95-ns: 106463.0
keygen-wall-p99-ns: 116334.0
keygen-wall-ci95lo-ns: 104928.9
keygen-wall-ci95hi-ns: 105581.8
keygen-cyc-median: 5650.0
keygen-cyc-mean: 5677.9
keygen-persec: 9547.4
encap-iters: 1000
encap-wall-median-ns: 64278.0
encap-wall-mean-ns: 64489.6
encap-wall-std-ns: 1345.4
encap-wall-p95-ns: 64481.0
encap-wall-p99-ns: 74037.0
encap-wall-ci95lo-ns: 64406.2
encap-wall-ci95hi-ns: 64573.0
encap-cyc-median: 3468.0
encap-cyc-mean: 3479.6
encap-persec: 15557.4
decap-iters: 1000
decap-wall-median-ns: 92574.0
decap-wall-mean-ns: 92827.8
decap-wall-std-ns: 1570.8
decap-wall-p95-ns: 92740.0
decap-wall-p99-ns: 102037.0
decap-wall-ci95lo-ns: 92730.4
decap-wall-ci95hi-ns: 92925.2
decap-cyc-median: 4995.0
decap-cyc-mean: 5009.4
decap-persec: 10802.2
size-key-bits: 512
size-pubkey-bytes: 800
size-privkey-bytes: 1632
size-ciphertext-bytes: 768
size-shared-secret-bytes: 32
