openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-3072
key-size: 3072
keygen-iters: 1000
keygen-wall-median-ns: 1295909814.0
keygen-wall-mean-ns: 1523365898.2
keygen-wall-std-ns: 1000145458.8
keygen-wall-p95-ns: 3456982628.0
keygen-wall-p99-ns: 4643335053.0
keygen-wall-ci95lo-ns: 1461376240.5
keygen-wall-ci95hi-ns: 1585355556.0
keygen-cyc-median: 69979123.0
keygen-cyc-mean: 82261749.6
keygen-persec: 0.8
pss-sign-iters: 1000
pss-sign-wall-median-ns: 18292666.0
pss-sign-wall-mean-ns: 18402078.4
pss-sign-wall-std-ns: 584115.9
pss-sign-wall-p95-ns: 18378093.0
pss-sign-wall-p99-ns: 21672740.0
pss-sign-wall-ci95lo-ns: 18365874.6
pss-sign-wall-ci95hi-ns: 18438282.3
pss-sign-cyc-median: 987797.0
pss-sign-cyc-mean: 993704.9
pss-sign-persec: 54.7
pss-verify-iters: 1000
pss-verify-wall-median-ns: 334629.0
pss-verify-wall-mean-ns: 335523.2
pss-verify-wall-std-ns: 2986.5
pss-verify-wall-p95-ns: 344148.0
pss-verify-wall-p99-ns: 345111.0
pss-verify-wall-ci95lo-ns: 335338.0
pss-verify-wall-ci95hi-ns: 335708.3
pss-verify-cyc-median: 18065.0
pss-verify-cyc-mean: 18113.1
pss-verify-persec: 2988.4
oaep-encrypt-iters: 1000
oaep-encrypt-wall-median-ns: 347185.0
oaep-encrypt-wall-mean-ns: 348117.0
oaep-encrypt-wall-std-ns: 2651.9
oaep-encrypt-wall-p95-ns: 356185.0
oaep-encrypt-wall-p99-ns: 357019.0
oaep-encrypt-wall-ci95lo-ns: 347952.6
oaep-encrypt-wall-ci95hi-ns: 348281.4
oaep-encrypt-cyc-median: 18743.0
oaep-encrypt-cyc-mean: 18793.3
oaep-encrypt-persec: 2880.3
oaep-decrypt-iters: 1000
oaep-decrypt-wall-median-ns: 18268278.0
oaep-decrypt-wall-mean-ns: 18377120.5
oaep-decrypt-wall-std-ns: 587623.5
oaep-decrypt-wall-p95-ns: 18348426.0
oaep-decrypt-wall-p99-ns: 21661185.0
oaep-decrypt-wall-ci95lo-ns: 18340699.2
oaep-decrypt-wall-ci95hi-ns: 18413541.8
oaep-decrypt-cyc-median: 986481.0
oaep-decrypt-cyc-mean: 992357.7
oaep-decrypt-persec: 54.7
size-key-bits: 3072
size-signature-bytes: 384
