openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-3072
key-size: 3072
keygen-iters: 1000
keygen-wall-median-ns: 1364516647.0
keygen-wall-mean-ns: 1562458726.2
keygen-wall-std-ns: 962445466.1
keygen-wall-p95-ns: 3495409906.0
keygen-wall-p99-ns: 4609895905.0
keygen-wall-ci95lo-ns: 1502805738.2
keygen-wall-ci95hi-ns: 1622111714.2
keygen-cyc-median: 73683892.0
keygen-cyc-mean: 84372760.4
keygen-persec: 0.7
pss-sign-iters: 1000
pss-sign-wall-median-ns: 18394703.0
pss-sign-wall-mean-ns: 18549817.4
pss-sign-wall-std-ns: 613063.1
pss-sign-wall-p95-ns: 19313685.0
pss-sign-wall-p99-ns: 21796537.0
pss-sign-wall-ci95lo-ns: 18511819.3
pss-sign-wall-ci95hi-ns: 18587815.4
pss-sign-cyc-median: 993306.0
pss-sign-cyc-mean: 1001682.4
pss-sign-persec: 54.4
pss-verify-iters: 1000
pss-verify-wall-median-ns: 334555.0
pss-verify-wall-mean-ns: 336710.9
pss-verify-wall-std-ns: 11470.2
pss-verify-wall-p95-ns: 343981.0
pss-verify-wall-p99-ns: 418630.0
pss-verify-wall-ci95lo-ns: 335999.9
pss-verify-wall-ci95hi-ns: 337421.8
pss-verify-cyc-median: 18061.0
pss-verify-cyc-mean: 18178.0
pss-verify-persec: 2989.0
oaep-encrypt-iters: 1000
oaep-encrypt-wall-median-ns: 347222.0
oaep-encrypt-wall-mean-ns: 348231.5
oaep-encrypt-wall-std-ns: 3571.4
oaep-encrypt-wall-p95-ns: 356111.0
oaep-encrypt-wall-p99-ns: 357000.0
oaep-encrypt-wall-ci95lo-ns: 348010.1
oaep-encrypt-wall-ci95hi-ns: 348452.8
oaep-encrypt-cyc-median: 18746.0
oaep-encrypt-cyc-mean: 18800.1
oaep-encrypt-persec: 2880.0
oaep-decrypt-iters: 1000
oaep-decrypt-wall-median-ns: 18285556.0
oaep-decrypt-wall-mean-ns: 18439779.0
oaep-decrypt-wall-std-ns: 622452.9
oaep-decrypt-wall-p95-ns: 19207926.0
oaep-decrypt-wall-p99-ns: 21686518.0
oaep-decrypt-wall-ci95lo-ns: 18401199.0
oaep-decrypt-wall-ci95hi-ns: 18478359.0
oaep-decrypt-cyc-median: 987414.0
oaep-decrypt-cyc-mean: 995741.4
oaep-decrypt-persec: 54.7
size-key-bits: 3072
size-signature-bytes: 384
