openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-65
keygen-iters: 1000
keygen-wall-median-ns: 743796.0
keygen-wall-mean-ns: 745878.5
keygen-wall-std-ns: 5772.9
keygen-wall-p95-ns: 755297.0
keygen-wall-p99-ns: 761352.0
keygen-wall-ci95lo-ns: 745520.6
keygen-wall-ci95hi-ns: 746236.3
keygen-cyc-median: 40160.0
keygen-cyc-mean: 40271.4
keygen-persec: 1344.5
sign-iters: 1000
sign-wall-median-ns: 3533555.0
sign-wall-mean-ns: 4311264.7
sign-wall-std-ns: 3084628.3
sign-wall-p95-ns: 10953204.0
sign-wall-p99-ns: 14331463.0
sign-wall-ci95lo-ns: 4120077.5
sign-wall-ci95hi-ns: 4502452.0
sign-cyc-median: 190804.0
sign-cyc-mean: 232802.3
sign-persec: 283.0
verify-iters: 1000
verify-wall-median-ns: 795259.0
verify-wall-mean-ns: 797539.4
verify-wall-std-ns: 5679.5
verify-wall-p95-ns: 805314.0
verify-wall-p99-ns: 824685.0
verify-wall-ci95lo-ns: 797187.4
verify-wall-ci95hi-ns: 797891.5
verify-cyc-median: 42938.0
verify-cyc-mean: 43060.7
verify-persec: 1257.5
size-key-bits: 15616
size-pubkey-bytes: 1952
size-privkey-bytes: 4032
size-signature-bytes: 3309
