openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdh-P-521
keygen-iters: 1000
keygen-wall-median-ns: 1106366.0
keygen-wall-mean-ns: 1107177.6
keygen-wall-std-ns: 4063.4
keygen-wall-p95-ns: 1114080.0
keygen-wall-p99-ns: 1122354.0
keygen-wall-ci95lo-ns: 1106925.8
keygen-wall-ci95hi-ns: 1107429.5
keygen-cyc-median: 2973850.0
keygen-cyc-mean: 2976034.2
keygen-persec: 903.9
derive-iters: 1000
derive-wall-median-ns: 1093678.0
derive-wall-mean-ns: 1094407.2
derive-wall-std-ns: 3924.2
derive-wall-p95-ns: 1101413.0
derive-wall-p99-ns: 1108626.0
derive-wall-ci95lo-ns: 1094163.9
derive-wall-ci95hi-ns: 1094650.4
derive-cyc-median: 2939752.0
derive-cyc-mean: 2941707.2
derive-persec: 914.3
size-key-bits: 521
size-pubkey-bytes: 133
