openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdh-P-256
keygen-iters: 1000
keygen-wall-median-ns: 92666.0
keygen-wall-mean-ns: 93086.2
keygen-wall-std-ns: 2780.3
keygen-wall-p95-ns: 93593.0
keygen-wall-p99-ns: 105259.0
keygen-wall-ci95lo-ns: 92913.8
keygen-wall-ci95hi-ns: 93258.5
keygen-cyc-median: 4999.0
keygen-cyc-mean: 5021.9
keygen-persec: 10791.4
derive-iters: 1000
derive-wall-median-ns: 262278.0
derive-wall-mean-ns: 262885.5
derive-wall-std-ns: 2158.7
derive-wall-p95-ns: 270370.0
derive-wall-p99-ns: 271444.0
derive-wall-ci95lo-ns: 262751.7
derive-wall-ci95hi-ns: 263019.3
derive-cyc-median: 14159.0
derive-cyc-mean: 14192.0
derive-persec: 3812.7
size-key-bits: 256
size-pubkey-bytes: 65
