openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdh-P-256
keygen-iters: 1000
keygen-wall-median-ns: 92333.0
keygen-wall-mean-ns: 92735.0
keygen-wall-std-ns: 2790.5
keygen-wall-p95-ns: 93463.0
keygen-wall-p99-ns: 104333.0
keygen-wall-ci95lo-ns: 92562.1
keygen-wall-ci95hi-ns: 92908.0
keygen-cyc-median: 4981.0
keygen-cyc-mean: 5003.0
keygen-persec: 10830.4
derive-iters: 1000
derive-wall-median-ns: 262222.0
derive-wall-mean-ns: 266396.8
derive-wall-std-ns: 17964.7
derive-wall-p95-ns: 277630.0
derive-wall-p99-ns: 368703.0
derive-wall-ci95lo-ns: 265283.3
derive-wall-ci95hi-ns: 267510.2
derive-cyc-median: 14157.0
derive-cyc-mean: 14381.5
derive-persec: 3813.6
size-key-bits: 256
size-pubkey-bytes: 65
