openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdh-P-521
keygen-iters: 1000
keygen-wall-median-ns: 1106556.0
keygen-wall-mean-ns: 1108129.2
keygen-wall-std-ns: 18531.8
keygen-wall-p95-ns: 1114092.0
keygen-wall-p99-ns: 1123728.0
keygen-wall-ci95lo-ns: 1106980.6
keygen-wall-ci95hi-ns: 1109277.8
keygen-cyc-median: 2974362.0
keygen-cyc-mean: 2978586.5
keygen-persec: 903.7
derive-iters: 1000
derive-wall-median-ns: 1093114.0
derive-wall-mean-ns: 1093907.1
derive-wall-std-ns: 5450.0
derive-wall-p95-ns: 1098766.0
derive-wall-p99-ns: 1113186.0
derive-wall-ci95lo-ns: 1093569.3
derive-wall-ci95hi-ns: 1094244.9
derive-cyc-median: 2938232.0
derive-cyc-mean: 2940361.2
derive-persec: 914.8
size-key-bits: 521
size-pubkey-bytes: 133
