openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-87
keygen-iters: 1000
keygen-wall-median-ns: 1108926.0
keygen-wall-mean-ns: 1111483.1
keygen-wall-std-ns: 14682.6
keygen-wall-p95-ns: 1121537.0
keygen-wall-p99-ns: 1126019.0
keygen-wall-ci95lo-ns: 1110573.0
keygen-wall-ci95hi-ns: 1112393.1
keygen-cyc-median: 59877.0
keygen-cyc-mean: 60013.9
keygen-persec: 901.8
sign-iters: 1000
sign-wall-median-ns: 4125963.0
sign-wall-mean-ns: 4987316.1
sign-wall-std-ns: 3141890.0
sign-wall-p95-ns: 11852537.0
sign-wall-p99-ns: 15721574.0
sign-wall-ci95lo-ns: 4792579.8
sign-wall-ci95hi-ns: 5182052.5
sign-cyc-median: 222796.0
sign-cyc-mean: 269309.3
sign-persec: 242.4
verify-iters: 1000
verify-wall-median-ns: 1224019.0
verify-wall-mean-ns: 1226643.6
verify-wall-std-ns: 5405.9
verify-wall-p95-ns: 1233352.0
verify-wall-p99-ns: 1237760.0
verify-wall-ci95lo-ns: 1226308.6
verify-wall-ci95hi-ns: 1226978.7
verify-cyc-median: 66091.0
verify-cyc-mean: 66232.1
verify-persec: 817.0
size-key-bits: 20736
size-pubkey-bytes: 2592
size-privkey-bytes: 4896
size-signature-bytes: 4627
