openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-87
keygen-iters: 1000
keygen-wall-median-ns: 1111167.0
keygen-wall-mean-ns: 1113235.6
keygen-wall-std-ns: 9944.7
keygen-wall-p95-ns: 1123056.0
keygen-wall-p99-ns: 1130129.0
keygen-wall-ci95lo-ns: 1112619.3
keygen-wall-ci95hi-ns: 1113852.0
keygen-cyc-median: 59998.0
keygen-cyc-mean: 60108.4
keygen-persec: 900.0
sign-iters: 1000
sign-wall-median-ns: 4123296.0
sign-wall-mean-ns: 5189919.6
sign-wall-std-ns: 3452662.4
sign-wall-p95-ns: 11846389.0
sign-wall-p99-ns: 17626982.0
sign-wall-ci95lo-ns: 4975921.3
sign-wall-ci95hi-ns: 5403917.8
sign-cyc-median: 222652.0
sign-cyc-mean: 280249.7
sign-persec: 242.5
verify-iters: 1000
verify-wall-median-ns: 1223426.0
verify-wall-mean-ns: 1226249.9
verify-wall-std-ns: 6936.6
verify-wall-p95-ns: 1232926.0
verify-wall-p99-ns: 1237982.0
verify-wall-ci95lo-ns: 1225819.9
verify-wall-ci95hi-ns: 1226679.8
verify-cyc-median: 66060.0
verify-cyc-mean: 66211.0
verify-persec: 817.4
size-key-bits: 20736
size-pubkey-bytes: 2592
size-privkey-bytes: 4896
size-signature-bytes: 4627
