algo,metric,value
rsa-3072,key-size,3072
rsa-3072,keygen-iters,1000
rsa-3072,keygen-wall-median-ns,104606131.0
rsa-3072,keygen-wall-mean-ns,120696950.4
rsa-3072,keygen-wall-std-ns,74933247.5
rsa-3072,keygen-wall-p95-ns,265718094.0
rsa-3072,keygen-wall-p99-ns,356351938.0
rsa-3072,keygen-wall-ci95lo-ns,116052539.6
rsa-3072,keygen-wall-ci95hi-ns,125341361.2
rsa-3072,keygen-cyc-median,281181208.0
rsa-3072,keygen-cyc-mean,324433322.6
rsa-3072,keygen-persec,9.6
rsa-3072,pss-sign-iters,1000
rsa-3072,pss-sign-wall-median-ns,1326978.0
rsa-3072,pss-sign-wall-mean-ns,1338920.6
rsa-3072,pss-sign-wall-std-ns,65653.9
rsa-3072,pss-sign-wall-p95-ns,1333410.0
rsa-3072,pss-sign-wall-p99-ns,1707074.0
rsa-3072,pss-sign-wall-ci95lo-ns,1334851.4
rsa-3072,pss-sign-wall-ci95hi-ns,1342989.9
rsa-3072,pss-sign-cyc-median,3566850.0
rsa-3072,pss-sign-cyc-mean,3598957.7
rsa-3072,pss-sign-persec,753.6
rsa-3072,pss-verify-iters,1000
rsa-3072,pss-verify-wall-median-ns,29190.0
rsa-3072,pss-verify-wall-mean-ns,29250.3
rsa-3072,pss-verify-wall-std-ns,355.1
rsa-3072,pss-verify-wall-p95-ns,29423.0
rsa-3072,pss-verify-wall-p99-ns,30549.0
rsa-3072,pss-verify-wall-ci95lo-ns,29228.3
rsa-3072,pss-verify-wall-ci95hi-ns,29272.3
rsa-3072,pss-verify-cyc-median,78408.0
rsa-3072,pss-verify-cyc-mean,78568.4
rsa-3072,pss-verify-persec,34258.3
rsa-3072,oaep-encrypt-iters,1000
rsa-3072,oaep-encrypt-wall-median-ns,29764.0
rsa-3072,oaep-encrypt-wall-mean-ns,29794.4
rsa-3072,oaep-encrypt-wall-std-ns,219.2
rsa-3072,oaep-encrypt-wall-p95-ns,29962.0
rsa-3072,oaep-encrypt-wall-p99-ns,30937.0
rsa-3072,oaep-encrypt-wall-ci95lo-ns,29780.8
rsa-3072,oaep-encrypt-wall-ci95hi-ns,29808.0
rsa-3072,oaep-encrypt-cyc-median,79952.0
rsa-3072,oaep-encrypt-cyc-mean,80032.3
rsa-3072,oaep-encrypt-persec,33597.6
rsa-3072,oaep-decrypt-iters,1000
rsa-3072,oaep-decrypt-wall-median-ns,1328578.0
rsa-3072,oaep-decrypt-wall-mean-ns,1340427.4
rsa-3072,oaep-decrypt-wall-std-ns,65898.9
rsa-3072,oaep-decrypt-wall-p95-ns,1333344.0
rsa-3072,oaep-decrypt-wall-p99-ns,1710892.0
rsa-3072,oaep-decrypt-wall-ci95lo-ns,1336342.9
rsa-3072,oaep-decrypt-wall-ci95hi-ns,1344511.8
rsa-3072,oaep-decrypt-cyc-median,3571158.0
rsa-3072,oaep-decrypt-cyc-mean,3603004.6
rsa-3072,oaep-decrypt-persec,752.7
rsa-3072,size-key-bits,3072
rsa-3072,size-signature-bytes,384
ecdsa-P-256,keygen-iters,1000
ecdsa-P-256,keygen-wall-median-ns,11888.0
ecdsa-P-256,keygen-wall-mean-ns,14981.9
ecdsa-P-256,keygen-wall-std-ns,7244.6
ecdsa-P-256,keygen-wall-p95-ns,25197.0
ecdsa-P-256,keygen-wall-p99-ns,28151.0
ecdsa-P-256,keygen-wall-ci95lo-ns,14532.8
ecdsa-P-256,keygen-wall-ci95hi-ns,15430.9
ecdsa-P-256,keygen-cyc-median,31890.0
ecdsa-P-256,keygen-cyc-mean,40154.3
ecdsa-P-256,keygen-persec,84118.4
ecdsa-P-256,sign-iters,1000
ecdsa-P-256,sign-wall-median-ns,16753.0
ecdsa-P-256,sign-wall-mean-ns,16863.8
ecdsa-P-256,sign-wall-std-ns,508.7
ecdsa-P-256,sign-wall-p95-ns,17606.0
ecdsa-P-256,sign-wall-p99-ns,18526.0
ecdsa-P-256,sign-wall-ci95lo-ns,16832.3
ecdsa-P-256,sign-wall-ci95hi-ns,16895.4
ecdsa-P-256,sign-cyc-median,44962.0
ecdsa-P-256,sign-cyc-mean,45261.1
ecdsa-P-256,sign-persec,59690.8
ecdsa-P-256,verify-iters,1000
ecdsa-P-256,verify-wall-median-ns,52569.0
ecdsa-P-256,verify-wall-mean-ns,52684.5
ecdsa-P-256,verify-wall-std-ns,706.9
ecdsa-P-256,verify-wall-p95-ns,53770.0
ecdsa-P-256,verify-wall-p99-ns,54956.0
ecdsa-P-256,verify-wall-ci95lo-ns,52640.6
ecdsa-P-256,verify-wall-ci95hi-ns,52728.3
ecdsa-P-256,verify-cyc-median,141240.0
ecdsa-P-256,verify-cyc-mean,141549.4
ecdsa-P-256,verify-persec,19022.6
ecdsa-P-256,size-key-bits,256
ecdsa-P-256,size-pubkey-bytes,65
ecdsa-P-256,size-signature-max-bytes,72
ecdsa-P-384,keygen-iters,1000
ecdsa-P-384,keygen-wall-median-ns,469676.0
ecdsa-P-384,keygen-wall-mean-ns,470072.2
ecdsa-P-384,keygen-wall-std-ns,3795.0
ecdsa-P-384,keygen-wall-p95-ns,475179.0
ecdsa-P-384,keygen-wall-p99-ns,479470.0
ecdsa-P-384,keygen-wall-ci95lo-ns,469837.0
ecdsa-P-384,keygen-wall-ci95hi-ns,470307.4
ecdsa-P-384,keygen-cyc-median,1262426.0
ecdsa-P-384,keygen-cyc-mean,1263493.1
ecdsa-P-384,keygen-persec,2129.1
ecdsa-P-384,sign-iters,1000
ecdsa-P-384,sign-wall-median-ns,483189.0
ecdsa-P-384,sign-wall-mean-ns,483558.5
ecdsa-P-384,sign-wall-std-ns,2395.6
ecdsa-P-384,sign-wall-p95-ns,487606.0
ecdsa-P-384,sign-wall-p99-ns,491902.0
ecdsa-P-384,sign-wall-ci95lo-ns,483410.0
ecdsa-P-384,sign-wall-ci95hi-ns,483707.0
ecdsa-P-384,sign-cyc-median,1298760.0
ecdsa-P-384,sign-cyc-mean,1299748.6
ecdsa-P-384,sign-persec,2069.6
ecdsa-P-384,verify-iters,1000
ecdsa-P-384,verify-wall-median-ns,414766.0
ecdsa-P-384,verify-wall-mean-ns,415120.2
ecdsa-P-384,verify-wall-std-ns,2757.6
ecdsa-P-384,verify-wall-p95-ns,418819.0
ecdsa-P-384,verify-wall-p99-ns,426778.0
ecdsa-P-384,verify-wall-ci95lo-ns,414949.2
ecdsa-P-384,verify-wall-ci95hi-ns,415291.1
ecdsa-P-384,verify-cyc-median,1114796.0
ecdsa-P-384,verify-cyc-mean,1115783.6
ecdsa-P-384,verify-persec,2411.0
ecdsa-P-384,size-key-bits,384
ecdsa-P-384,size-pubkey-bytes,97
ecdsa-P-384,size-signature-max-bytes,104
ecdsa-P-521,keygen-iters,1000
ecdsa-P-521,keygen-wall-median-ns,1105011.0
ecdsa-P-521,keygen-wall-mean-ns,1105618.4
ecdsa-P-521,keygen-wall-std-ns,4844.6
ecdsa-P-521,keygen-wall-p95-ns,1110243.0
ecdsa-P-521,keygen-wall-p99-ns,1124773.0
ecdsa-P-521,keygen-wall-ci95lo-ns,1105318.1
ecdsa-P-521,keygen-wall-ci95hi-ns,1105918.7
ecdsa-P-521,keygen-cyc-median,2970208.0
ecdsa-P-521,keygen-cyc-mean,2971839.0
ecdsa-P-521,keygen-persec,905.0
ecdsa-P-521,sign-iters,1000
ecdsa-P-521,sign-wall-median-ns,1161106.0
ecdsa-P-521,sign-wall-mean-ns,1161540.6
ecdsa-P-521,sign-wall-std-ns,4426.0
ecdsa-P-521,sign-wall-p95-ns,1166824.0
ecdsa-P-521,sign-wall-p99-ns,1178832.0
ecdsa-P-521,sign-wall-ci95lo-ns,1161266.3
ecdsa-P-521,sign-wall-ci95hi-ns,1161814.9
ecdsa-P-521,sign-cyc-median,3120990.0
ecdsa-P-521,sign-cyc-mean,3122158.9
ecdsa-P-521,sign-persec,861.2
ecdsa-P-521,verify-iters,1000
ecdsa-P-521,verify-wall-median-ns,926257.0
ecdsa-P-521,verify-wall-mean-ns,926807.3
ecdsa-P-521,verify-wall-std-ns,3582.9
ecdsa-P-521,verify-wall-p95-ns,931557.0
ecdsa-P-521,verify-wall-p99-ns,942642.0
ecdsa-P-521,verify-wall-ci95lo-ns,926585.3
ecdsa-P-521,verify-wall-ci95hi-ns,927029.4
ecdsa-P-521,verify-cyc-median,2489718.0
ecdsa-P-521,verify-cyc-mean,2491184.9
ecdsa-P-521,verify-persec,1079.6
ecdsa-P-521,size-key-bits,521
ecdsa-P-521,size-pubkey-bytes,133
ecdsa-P-521,size-signature-max-bytes,139
ecdh-P-256,keygen-iters,1000
ecdh-P-256,keygen-wall-median-ns,11890.0
ecdh-P-256,keygen-wall-mean-ns,14547.5
ecdh-P-256,keygen-wall-std-ns,9455.6
ecdh-P-256,keygen-wall-p95-ns,25099.0
ecdh-P-256,keygen-wall-p99-ns,25911.0
ecdh-P-256,keygen-wall-ci95lo-ns,13961.4
ecdh-P-256,keygen-wall-ci95hi-ns,15133.5
ecdh-P-256,keygen-cyc-median,31894.0
ecdh-P-256,keygen-cyc-mean,38994.2
ecdh-P-256,keygen-persec,84104.3
ecdh-P-256,derive-iters,1000
ecdh-P-256,derive-wall-median-ns,40362.0
ecdh-P-256,derive-wall-mean-ns,40428.2
ecdh-P-256,derive-wall-std-ns,381.2
ecdh-P-256,derive-wall-p95-ns,41364.0
ecdh-P-256,derive-wall-p99-ns,42263.0
ecdh-P-256,derive-wall-ci95lo-ns,40404.6
ecdh-P-256,derive-wall-ci95hi-ns,40451.8
ecdh-P-256,derive-cyc-median,108436.0
ecdh-P-256,derive-cyc-mean,108613.2
ecdh-P-256,derive-persec,24775.8
ecdh-P-256,size-key-bits,256
ecdh-P-256,size-pubkey-bytes,65
ecdh-P-384,keygen-iters,1000
ecdh-P-384,keygen-wall-median-ns,468122.0
ecdh-P-384,keygen-wall-mean-ns,468553.1
ecdh-P-384,keygen-wall-std-ns,2851.2
ecdh-P-384,keygen-wall-p95-ns,473719.0
ecdh-P-384,keygen-wall-p99-ns,477398.0
ecdh-P-384,keygen-wall-ci95lo-ns,468376.4
ecdh-P-384,keygen-wall-ci95hi-ns,468729.9
ecdh-P-384,keygen-cyc-median,1258256.0
ecdh-P-384,keygen-cyc-mean,1259413.4
ecdh-P-384,keygen-persec,2136.2
ecdh-P-384,derive-iters,1000
ecdh-P-384,derive-wall-median-ns,457490.0
ecdh-P-384,derive-wall-mean-ns,457712.8
ecdh-P-384,derive-wall-std-ns,2563.0
ecdh-P-384,derive-wall-p95-ns,461972.0
ecdh-P-384,derive-wall-p99-ns,464593.0
ecdh-P-384,derive-wall-ci95lo-ns,457554.0
