openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-512
keygen-iters: 1000
keygen-wall-median-ns: 17509.0
keygen-wall-mean-ns: 19618.7
keygen-wall-std-ns: 5608.1
keygen-wall-p95-ns: 32790.0
keygen-wall-p99-ns: 33548.0
keygen-wall-ci95lo-ns: 19271.1
keygen-wall-ci95hi-ns: 19966.3
keygen-cyc-median: 47010.0
keygen-cyc-mean: 52652.4
keygen-persec: 57113.5
encap-iters: 1000
encap-wall-median-ns: 11185.0
encap-wall-mean-ns: 11229.9
encap-wall-std-ns: 245.8
encap-wall-p95-ns: 11442.0
encap-wall-p99-ns: 12654.0
encap-wall-ci95lo-ns: 11214.6
encap-wall-ci95hi-ns: 11245.1
encap-cyc-median: 30006.0
encap-cyc-mean: 30126.5
encap-persec: 89405.5
decap-iters: 1000
decap-wall-median-ns: 17250.0
decap-wall-mean-ns: 17313.2
decap-wall-std-ns: 365.6
decap-wall-p95-ns: 17563.0
decap-wall-p99-ns: 18809.0
decap-wall-ci95lo-ns: 17290.5
decap-wall-ci95hi-ns: 17335.9
decap-cyc-median: 46312.0
decap-cyc-mean: 46481.8
decap-persec: 57971.0
size-key-bits: 512
size-pubkey-bytes: 800
size-privkey-bytes: 1632
size-ciphertext-bytes: 768
size-shared-secret-bytes: 32
