openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-512
keygen-iters: 1000
keygen-wall-median-ns: 17629.0
keygen-wall-mean-ns: 19810.6
keygen-wall-std-ns: 5572.3
keygen-wall-p95-ns: 32770.0
keygen-wall-p99-ns: 34155.0
keygen-wall-ci95lo-ns: 19465.2
keygen-wall-ci95hi-ns: 20156.0
keygen-cyc-median: 47330.0
keygen-cyc-mean: 53164.4
keygen-persec: 56724.7
encap-iters: 1000
encap-wall-median-ns: 11203.0
encap-wall-mean-ns: 11235.4
encap-wall-std-ns: 240.8
encap-wall-p95-ns: 11403.0
encap-wall-p99-ns: 12379.0
encap-wall-ci95lo-ns: 11220.4
encap-wall-ci95hi-ns: 11250.3
encap-cyc-median: 30054.0
encap-cyc-mean: 30143.1
encap-persec: 89261.8
decap-iters: 1000
decap-wall-median-ns: 17289.0
decap-wall-mean-ns: 17334.7
decap-wall-std-ns: 241.9
decap-wall-p95-ns: 17579.0
decap-wall-p99-ns: 18631.0
decap-wall-ci95lo-ns: 17319.7
decap-wall-ci95hi-ns: 17349.7
decap-cyc-median: 46414.0
decap-cyc-mean: 46537.7
decap-persec: 57840.2
size-key-bits: 512
size-pubkey-bytes: 800
size-privkey-bytes: 1632
size-ciphertext-bytes: 768
size-shared-secret-bytes: 32
