openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-512
keygen-iters: 1000
keygen-wall-median-ns: 17509.0
keygen-wall-mean-ns: 18802.1
keygen-wall-std-ns: 5937.6
keygen-wall-p95-ns: 32573.0
keygen-wall-p99-ns: 33290.0
keygen-wall-ci95lo-ns: 18434.0
keygen-wall-ci95hi-ns: 19170.1
keygen-cyc-median: 47008.0
keygen-cyc-mean: 50467.9
keygen-persec: 57113.5
encap-iters: 1000
encap-wall-median-ns: 11198.0
encap-wall-mean-ns: 11237.9
encap-wall-std-ns: 242.6
encap-wall-p95-ns: 11437.0
encap-wall-p99-ns: 12510.0
encap-wall-ci95lo-ns: 11222.9
encap-wall-ci95hi-ns: 11253.0
encap-cyc-median: 30036.0
encap-cyc-mean: 30143.7
encap-persec: 89301.7
decap-iters: 1000
decap-wall-median-ns: 17276.0
decap-wall-mean-ns: 17343.4
decap-wall-std-ns: 557.1
decap-wall-p95-ns: 17547.0
decap-wall-p99-ns: 18689.0
decap-wall-ci95lo-ns: 17308.9
decap-wall-ci95hi-ns: 17378.0
decap-cyc-median: 46382.0
decap-cyc-mean: 46562.5
decap-persec: 57883.8
size-key-bits: 512
size-pubkey-bytes: 800
size-privkey-bytes: 1632
size-ciphertext-bytes: 768
size-shared-secret-bytes: 32
