openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-512
keygen-iters: 1000
keygen-wall-median-ns: 17587.0
keygen-wall-mean-ns: 17685.4
keygen-wall-std-ns: 485.1
keygen-wall-p95-ns: 18471.0
keygen-wall-p99-ns: 19468.0
keygen-wall-ci95lo-ns: 17655.4
keygen-wall-ci95hi-ns: 17715.5
keygen-cyc-median: 47216.0
keygen-cyc-mean: 47479.3
keygen-persec: 56860.2
encap-iters: 1000
encap-wall-median-ns: 11205.0
encap-wall-mean-ns: 11232.2
encap-wall-std-ns: 230.8
encap-wall-p95-ns: 11396.0
encap-wall-p99-ns: 12545.0
encap-wall-ci95lo-ns: 11217.9
encap-wall-ci95hi-ns: 11246.5
encap-cyc-median: 30058.0
encap-cyc-mean: 30128.7
encap-persec: 89245.9
decap-iters: 1000
decap-wall-median-ns: 17282.0
decap-wall-mean-ns: 17313.1
decap-wall-std-ns: 212.0
decap-wall-p95-ns: 17539.0
decap-wall-p99-ns: 18434.0
decap-wall-ci95lo-ns: 17300.0
decap-wall-ci95hi-ns: 17326.3
decap-cyc-median: 46400.0
decap-cyc-mean: 46482.3
decap-persec: 57863.7
size-key-bits: 512
size-pubkey-bytes: 800
size-privkey-bytes: 1632
size-ciphertext-bytes: 768
size-shared-secret-bytes: 32
