openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-512
keygen-iters: 1000
keygen-wall-median-ns: 32260.0
keygen-wall-mean-ns: 25623.3
keygen-wall-std-ns: 10829.6
keygen-wall-p95-ns: 33206.0
keygen-wall-p99-ns: 36800.0
keygen-wall-ci95lo-ns: 24952.0
keygen-wall-ci95hi-ns: 26294.5
keygen-cyc-median: 86442.0
keygen-cyc-mean: 68713.7
keygen-persec: 30998.1
encap-iters: 1000
encap-wall-median-ns: 11196.0
encap-wall-mean-ns: 11244.3
encap-wall-std-ns: 218.6
encap-wall-p95-ns: 11553.0
encap-wall-p99-ns: 12426.0
encap-wall-ci95lo-ns: 11230.7
encap-wall-ci95hi-ns: 11257.8
encap-cyc-median: 30038.0
encap-cyc-mean: 30165.1
encap-persec: 89317.6
decap-iters: 1000
decap-wall-median-ns: 17269.0
decap-wall-mean-ns: 17304.5
decap-wall-std-ns: 216.6
decap-wall-p95-ns: 17544.0
decap-wall-p99-ns: 18381.0
decap-wall-ci95lo-ns: 17291.1
decap-wall-ci95hi-ns: 17318.0
decap-cyc-median: 46364.0
decap-cyc-mean: 46458.0
decap-persec: 57907.2
size-key-bits: 512
size-pubkey-bytes: 800
size-privkey-bytes: 1632
size-ciphertext-bytes: 768
size-shared-secret-bytes: 32
