openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-384
keygen-iters: 1000
keygen-wall-median-ns: 468126.0
keygen-wall-mean-ns: 468567.9
keygen-wall-std-ns: 3128.9
keygen-wall-p95-ns: 473594.0
keygen-wall-p99-ns: 478464.0
keygen-wall-ci95lo-ns: 468373.9
keygen-wall-ci95hi-ns: 468761.8
keygen-cyc-median: 1258270.0
keygen-cyc-mean: 1259446.6
keygen-persec: 2136.2
sign-iters: 1000
sign-wall-median-ns: 480907.0
sign-wall-mean-ns: 481420.9
sign-wall-std-ns: 2790.4
sign-wall-p95-ns: 486170.0
sign-wall-p99-ns: 491279.0
sign-wall-ci95lo-ns: 481248.0
sign-wall-ci95hi-ns: 481593.9
sign-cyc-median: 1292616.0
sign-cyc-mean: 1294000.4
sign-persec: 2079.4
verify-iters: 1000
verify-wall-median-ns: 410116.0
verify-wall-mean-ns: 410517.9
verify-wall-std-ns: 2824.6
verify-wall-p95-ns: 413708.0
verify-wall-p99-ns: 421834.0
verify-wall-ci95lo-ns: 410342.9
verify-wall-ci95hi-ns: 410693.0
verify-cyc-median: 1102336.0
verify-cyc-mean: 1103411.7
verify-persec: 2438.3
size-key-bits: 384
size-pubkey-bytes: 97
size-signature-max-bytes: 104
