openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-384
keygen-iters: 1000
keygen-wall-median-ns: 468268.0
keygen-wall-mean-ns: 468739.1
keygen-wall-std-ns: 2788.1
keygen-wall-p95-ns: 473537.0
keygen-wall-p99-ns: 476379.0
keygen-wall-ci95lo-ns: 468566.3
keygen-wall-ci95hi-ns: 468911.9
keygen-cyc-median: 1258644.0
keygen-cyc-mean: 1259911.7
keygen-persec: 2135.5
sign-iters: 1000
sign-wall-median-ns: 482012.0
sign-wall-mean-ns: 482286.6
sign-wall-std-ns: 2724.1
sign-wall-p95-ns: 486668.0
sign-wall-p99-ns: 489179.0
sign-wall-ci95lo-ns: 482117.7
sign-wall-ci95hi-ns: 482455.4
sign-cyc-median: 1295572.0
sign-cyc-mean: 1296316.7
sign-persec: 2074.6
verify-iters: 1000
verify-wall-median-ns: 412555.0
verify-wall-mean-ns: 413067.9
verify-wall-std-ns: 5290.5
verify-wall-p95-ns: 416180.0
verify-wall-p99-ns: 422988.0
verify-wall-ci95lo-ns: 412740.0
verify-wall-ci95hi-ns: 413395.8
verify-cyc-median: 1108888.0
verify-cyc-mean: 1110267.3
verify-persec: 2423.9
size-key-bits: 384
size-pubkey-bytes: 97
size-signature-max-bytes: 104
