openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-384
keygen-iters: 1000
keygen-wall-median-ns: 468221.0
keygen-wall-mean-ns: 468733.1
keygen-wall-std-ns: 3088.8
keygen-wall-p95-ns: 473847.0
keygen-wall-p99-ns: 477855.0
keygen-wall-ci95lo-ns: 468541.7
keygen-wall-ci95hi-ns: 468924.6
keygen-cyc-median: 1258524.0
keygen-cyc-mean: 1259898.6
keygen-persec: 2135.7
sign-iters: 1000
sign-wall-median-ns: 483363.0
sign-wall-mean-ns: 483745.5
sign-wall-std-ns: 2774.7
sign-wall-p95-ns: 487975.0
sign-wall-p99-ns: 491622.0
sign-wall-ci95lo-ns: 483573.6
sign-wall-ci95hi-ns: 483917.5
sign-cyc-median: 1299224.0
sign-cyc-mean: 1300252.0
sign-persec: 2068.8
verify-iters: 1000
verify-wall-median-ns: 412006.0
verify-wall-mean-ns: 412299.6
verify-wall-std-ns: 2498.0
verify-wall-p95-ns: 415935.0
verify-wall-p99-ns: 421052.0
verify-wall-ci95lo-ns: 412144.8
verify-wall-ci95hi-ns: 412454.5
verify-cyc-median: 1107418.0
verify-cyc-mean: 1108204.5
verify-persec: 2427.1
size-key-bits: 384
size-pubkey-bytes: 97
size-signature-max-bytes: 104
