openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-1024
keygen-iters: 1000
keygen-wall-median-ns: 221167.0
keygen-wall-mean-ns: 222164.9
keygen-wall-std-ns: 5584.0
keygen-wall-p95-ns: 230741.0
keygen-wall-p99-ns: 236204.0
keygen-wall-ci95lo-ns: 221818.8
keygen-wall-ci95hi-ns: 222511.0
keygen-cyc-median: 11937.0
keygen-cyc-mean: 11986.2
keygen-persec: 4521.5
encap-iters: 1000
encap-wall-median-ns: 109445.0
encap-wall-mean-ns: 109773.6
encap-wall-std-ns: 1728.3
encap-wall-p95-ns: 110352.0
encap-wall-p99-ns: 119167.0
encap-wall-ci95lo-ns: 109666.5
encap-wall-ci95hi-ns: 109880.7
encap-cyc-median: 5906.0
encap-cyc-mean: 5923.7
encap-persec: 9137.0
decap-iters: 1000
decap-wall-median-ns: 165426.0
decap-wall-mean-ns: 165828.1
decap-wall-std-ns: 1872.2
decap-wall-p95-ns: 166130.0
decap-wall-p99-ns: 175055.0
decap-wall-ci95lo-ns: 165712.1
decap-wall-ci95hi-ns: 165944.2
decap-cyc-median: 8930.0
decap-cyc-mean: 8951.4
decap-persec: 6045.0
size-key-bits: 1024
size-pubkey-bytes: 1568
size-privkey-bytes: 3168
size-ciphertext-bytes: 1568
size-shared-secret-bytes: 32
