openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-1024
keygen-iters: 1000
keygen-wall-median-ns: 220278.0
keygen-wall-mean-ns: 221324.8
keygen-wall-std-ns: 5761.2
keygen-wall-p95-ns: 230093.0
keygen-wall-p99-ns: 233759.0
keygen-wall-ci95lo-ns: 220967.7
keygen-wall-ci95hi-ns: 221681.9
keygen-cyc-median: 11888.0
keygen-cyc-mean: 11944.8
keygen-persec: 4539.7
encap-iters: 1000
encap-wall-median-ns: 109074.0
encap-wall-mean-ns: 109413.2
encap-wall-std-ns: 1764.0
encap-wall-p95-ns: 110056.0
encap-wall-p99-ns: 119056.0
encap-wall-ci95lo-ns: 109303.9
encap-wall-ci95hi-ns: 109522.5
encap-cyc-median: 5887.0
encap-cyc-mean: 5904.9
encap-persec: 9168.1
decap-iters: 1000
decap-wall-median-ns: 165426.0
decap-wall-mean-ns: 165909.3
decap-wall-std-ns: 2788.8
decap-wall-p95-ns: 167093.0
decap-wall-p99-ns: 174926.0
decap-wall-ci95lo-ns: 165736.4
decap-wall-ci95hi-ns: 166082.1
decap-cyc-median: 8930.0
decap-cyc-mean: 8955.8
decap-persec: 6045.0
size-key-bits: 1024
size-pubkey-bytes: 1568
size-privkey-bytes: 3168
size-ciphertext-bytes: 1568
size-shared-secret-bytes: 32
