openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-65
keygen-iters: 1000
keygen-wall-median-ns: 125759.0
keygen-wall-mean-ns: 126051.7
keygen-wall-std-ns: 1702.0
keygen-wall-p95-ns: 128115.0
keygen-wall-p99-ns: 132129.0
keygen-wall-ci95lo-ns: 125946.2
keygen-wall-ci95hi-ns: 126157.2
keygen-cyc-median: 337974.0
keygen-cyc-mean: 338757.8
keygen-persec: 7951.7
sign-iters: 1000
sign-wall-median-ns: 499283.0
sign-wall-mean-ns: 621808.8
sign-wall-std-ns: 428184.0
sign-wall-p95-ns: 1451890.0
sign-wall-p99-ns: 2204570.0
sign-wall-ci95lo-ns: 595269.7
sign-wall-ci95hi-ns: 648347.9
sign-cyc-median: 1342012.0
sign-cyc-mean: 1671358.7
sign-persec: 2002.9
verify-iters: 1000
verify-wall-median-ns: 117038.0
verify-wall-mean-ns: 117139.4
verify-wall-std-ns: 1070.2
verify-wall-p95-ns: 118372.0
verify-wall-p99-ns: 118890.0
verify-wall-ci95lo-ns: 117073.1
verify-wall-ci95hi-ns: 117205.7
verify-cyc-median: 314538.0
verify-cyc-mean: 314810.3
verify-persec: 8544.2
size-key-bits: 15616
size-pubkey-bytes: 1952
size-privkey-bytes: 4032
size-signature-bytes: 3309
