openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-65
keygen-iters: 1000
keygen-wall-median-ns: 125781.0
keygen-wall-mean-ns: 126141.8
keygen-wall-std-ns: 1677.7
keygen-wall-p95-ns: 129125.0
keygen-wall-p99-ns: 132088.0
keygen-wall-ci95lo-ns: 126037.8
keygen-wall-ci95hi-ns: 126245.8
keygen-cyc-median: 338034.0
keygen-cyc-mean: 339003.2
keygen-persec: 7950.3
sign-iters: 1000
sign-wall-median-ns: 427555.0
sign-wall-mean-ns: 589835.9
sign-wall-std-ns: 460298.4
sign-wall-p95-ns: 1535146.0
sign-wall-p99-ns: 2380934.0
sign-wall-ci95lo-ns: 561306.3
sign-wall-ci95hi-ns: 618365.5
sign-cyc-median: 1149204.0
sign-cyc-mean: 1585408.1
sign-persec: 2338.9
verify-iters: 1000
verify-wall-median-ns: 117064.0
verify-wall-mean-ns: 117181.3
verify-wall-std-ns: 1430.3
verify-wall-p95-ns: 118380.0
verify-wall-p99-ns: 119027.0
verify-wall-ci95lo-ns: 117092.7
verify-wall-ci95hi-ns: 117269.9
verify-cyc-median: 314594.0
verify-cyc-mean: 314917.0
verify-persec: 8542.3
size-key-bits: 15616
size-pubkey-bytes: 1952
size-privkey-bytes: 4032
size-signature-bytes: 3309
