openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-44
keygen-iters: 1000
keygen-wall-median-ns: 69780.0
keygen-wall-mean-ns: 69949.3
keygen-wall-std-ns: 1120.5
keygen-wall-p95-ns: 71744.0
keygen-wall-p99-ns: 73730.0
keygen-wall-ci95lo-ns: 69879.8
keygen-wall-ci95hi-ns: 70018.7
keygen-cyc-median: 187502.0
keygen-cyc-mean: 187953.0
keygen-persec: 14330.8
sign-iters: 1000
sign-wall-median-ns: 283424.0
sign-wall-mean-ns: 358710.5
sign-wall-std-ns: 252131.2
sign-wall-p95-ns: 897452.0
sign-wall-p99-ns: 1305956.0
sign-wall-ci95lo-ns: 343083.3
sign-wall-ci95hi-ns: 374337.8
sign-cyc-median: 761780.0
sign-cyc-mean: 964146.5
sign-persec: 3528.3
verify-iters: 1000
verify-wall-median-ns: 76006.0
verify-wall-mean-ns: 76273.1
verify-wall-std-ns: 3831.9
verify-wall-p95-ns: 77469.0
verify-wall-p99-ns: 78739.0
verify-wall-ci95lo-ns: 76035.6
verify-wall-ci95hi-ns: 76510.6
verify-cyc-median: 204234.0
verify-cyc-mean: 204956.1
verify-persec: 13156.9
size-key-bits: 10496
size-pubkey-bytes: 1312
size-privkey-bytes: 2560
size-signature-bytes: 2420
