openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-1024
keygen-iters: 1000
keygen-wall-median-ns: 39952.0
keygen-wall-mean-ns: 41051.4
keygen-wall-std-ns: 5799.4
keygen-wall-p95-ns: 42202.0
keygen-wall-p99-ns: 72940.0
keygen-wall-ci95lo-ns: 40691.9
keygen-wall-ci95hi-ns: 41410.8
keygen-cyc-median: 107336.0
keygen-cyc-mean: 110283.4
keygen-persec: 25030.0
encap-iters: 1000
encap-wall-median-ns: 19443.0
encap-wall-mean-ns: 19482.1
encap-wall-std-ns: 284.5
encap-wall-p95-ns: 19696.0
encap-wall-p99-ns: 20808.0
encap-wall-ci95lo-ns: 19464.5
encap-wall-ci95hi-ns: 19499.8
encap-cyc-median: 52192.0
encap-cyc-mean: 52298.2
encap-persec: 51432.4
decap-iters: 1000
decap-wall-median-ns: 30304.0
decap-wall-mean-ns: 30345.4
decap-wall-std-ns: 279.8
decap-wall-p95-ns: 30616.0
decap-wall-p99-ns: 31584.0
decap-wall-ci95lo-ns: 30328.0
decap-wall-ci95hi-ns: 30362.7
decap-cyc-median: 81402.0
decap-cyc-mean: 81511.9
decap-persec: 32998.9
size-key-bits: 1024
size-pubkey-bytes: 1568
size-privkey-bytes: 3168
size-ciphertext-bytes: 1568
size-shared-secret-bytes: 32
