openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-1024
keygen-iters: 1000
keygen-wall-median-ns: 39977.0
keygen-wall-mean-ns: 40945.2
keygen-wall-std-ns: 6674.9
keygen-wall-p95-ns: 42215.0
keygen-wall-p99-ns: 72618.0
keygen-wall-ci95lo-ns: 40531.5
keygen-wall-ci95hi-ns: 41358.9
keygen-cyc-median: 107402.0
keygen-cyc-mean: 109994.7
keygen-persec: 25014.4
encap-iters: 1000
encap-wall-median-ns: 19415.0
encap-wall-mean-ns: 19447.5
encap-wall-std-ns: 227.2
encap-wall-p95-ns: 19666.0
encap-wall-p99-ns: 20662.0
encap-wall-ci95lo-ns: 19433.4
encap-wall-ci95hi-ns: 19461.6
encap-cyc-median: 52126.0
encap-cyc-mean: 52219.4
encap-persec: 51506.6
decap-iters: 1000
decap-wall-median-ns: 30303.0
decap-wall-mean-ns: 30337.7
decap-wall-std-ns: 272.2
decap-wall-p95-ns: 30572.0
decap-wall-p99-ns: 31611.0
decap-wall-ci95lo-ns: 30320.8
decap-wall-ci95hi-ns: 30354.6
decap-cyc-median: 81400.0
decap-cyc-mean: 81491.5
decap-persec: 33000.0
size-key-bits: 1024
size-pubkey-bytes: 1568
size-privkey-bytes: 3168
size-ciphertext-bytes: 1568
size-shared-secret-bytes: 32
