openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-1024
keygen-iters: 1000
keygen-wall-median-ns: 40066.0
keygen-wall-mean-ns: 46618.7
keygen-wall-std-ns: 14394.3
keygen-wall-p95-ns: 72773.0
keygen-wall-p99-ns: 76341.0
keygen-wall-ci95lo-ns: 45726.5
keygen-wall-ci95hi-ns: 47510.8
keygen-cyc-median: 107638.0
keygen-cyc-mean: 125214.5
keygen-persec: 24958.8
encap-iters: 1000
encap-wall-median-ns: 19368.0
encap-wall-mean-ns: 21026.1
encap-wall-std-ns: 41123.4
encap-wall-p95-ns: 20224.0
encap-wall-p99-ns: 21376.0
encap-wall-ci95lo-ns: 18477.2
encap-wall-ci95hi-ns: 23574.9
encap-cyc-median: 52004.0
encap-cyc-mean: 56457.2
encap-persec: 51631.6
decap-iters: 1000
decap-wall-median-ns: 30282.0
decap-wall-mean-ns: 30321.5
decap-wall-std-ns: 254.6
decap-wall-p95-ns: 30582.0
decap-wall-p99-ns: 31529.0
decap-wall-ci95lo-ns: 30305.8
decap-wall-ci95hi-ns: 30337.3
decap-cyc-median: 81340.0
decap-cyc-mean: 81445.7
decap-persec: 33022.9
size-key-bits: 1024
size-pubkey-bytes: 1568
size-privkey-bytes: 3168
size-ciphertext-bytes: 1568
size-shared-secret-bytes: 32
