openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-1024
keygen-iters: 1000
keygen-wall-median-ns: 39976.0
keygen-wall-mean-ns: 40169.8
keygen-wall-std-ns: 1123.8
keygen-wall-p95-ns: 41806.0
keygen-wall-p99-ns: 42910.0
keygen-wall-ci95lo-ns: 40100.2
keygen-wall-ci95hi-ns: 40239.5
keygen-cyc-median: 107396.0
keygen-cyc-mean: 107914.5
keygen-persec: 25015.0
encap-iters: 1000
encap-wall-median-ns: 19419.0
encap-wall-mean-ns: 19469.3
encap-wall-std-ns: 267.4
encap-wall-p95-ns: 19700.0
encap-wall-p99-ns: 21002.0
encap-wall-ci95lo-ns: 19452.7
encap-wall-ci95hi-ns: 19485.9
encap-cyc-median: 52142.0
encap-cyc-mean: 52276.1
encap-persec: 51496.0
decap-iters: 1000
decap-wall-median-ns: 30302.0
decap-wall-mean-ns: 30381.8
decap-wall-std-ns: 489.1
decap-wall-p95-ns: 31273.0
decap-wall-p99-ns: 31969.0
decap-wall-ci95lo-ns: 30351.5
decap-wall-ci95hi-ns: 30412.1
decap-cyc-median: 81376.0
decap-cyc-mean: 81593.3
decap-persec: 33001.1
size-key-bits: 1024
size-pubkey-bytes: 1568
size-privkey-bytes: 3168
size-ciphertext-bytes: 1568
size-shared-secret-bytes: 32
