openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-7680
key-size: 7680
keygen-iters: 5
keygen-wall-median-ns: 27358567817.0
keygen-wall-mean-ns: 41222048856.8
keygen-wall-std-ns: 22656461285.0
keygen-wall-p95-ns: 77825315602.0
keygen-wall-p99-ns: 77825315602.0
keygen-wall-ci95lo-ns: 21362784932.2
keygen-wall-ci95hi-ns: 61081312781.4
keygen-cyc-median: 1477362646.0
keygen-cyc-mean: 2225990612.8
keygen-persec: 0.0
pss-sign-iters: 100
pss-sign-wall-median-ns: 227837277.0
pss-sign-wall-mean-ns: 228898659.8
pss-sign-wall-std-ns: 3149935.9
pss-sign-wall-p95-ns: 230697888.0
pss-sign-wall-p99-ns: 244911685.0
pss-sign-wall-ci95lo-ns: 228281272.4
pss-sign-wall-ci95hi-ns: 229516047.3
pss-sign-cyc-median: 12303205.0
pss-sign-cyc-mean: 12360497.8
pss-sign-persec: 4.4
pss-verify-iters: 100
pss-verify-wall-median-ns: 1746426.0
pss-verify-wall-mean-ns: 1750560.9
pss-verify-wall-std-ns: 5678.4
pss-verify-wall-p95-ns: 1755815.0
pss-verify-wall-p99-ns: 1761612.0
pss-verify-wall-ci95lo-ns: 1749448.0
pss-verify-wall-ci95hi-ns: 1751673.9
pss-verify-cyc-median: 94303.0
pss-verify-cyc-mean: 94525.3
pss-verify-persec: 572.6
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 1763703.0
oaep-encrypt-wall-mean-ns: 1767018.8
oaep-encrypt-wall-std-ns: 4226.8
oaep-encrypt-wall-p95-ns: 1771723.0
oaep-encrypt-wall-p99-ns: 1772796.0
oaep-encrypt-wall-ci95lo-ns: 1766190.4
oaep-encrypt-wall-ci95hi-ns: 1767847.3
oaep-encrypt-cyc-median: 95235.0
oaep-encrypt-cyc-mean: 95413.9
oaep-encrypt-persec: 567.0
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 228103426.0
oaep-decrypt-wall-mean-ns: 229105308.4
oaep-decrypt-wall-std-ns: 3090642.6
oaep-decrypt-wall-p95-ns: 230903741.0
oaep-decrypt-wall-p99-ns: 245357407.0
oaep-decrypt-wall-ci95lo-ns: 228499542.5
oaep-decrypt-wall-ci95hi-ns: 229711074.4
oaep-decrypt-cyc-median: 12317577.0
oaep-decrypt-cyc-mean: 12371676.5
oaep-decrypt-persec: 4.4
size-key-bits: 7680
size-signature-bytes: 960
