openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-7680
key-size: 7680
keygen-iters: 5
keygen-wall-median-ns: 59039801576.0
keygen-wall-mean-ns: 61495777437.4
keygen-wall-std-ns: 28341468305.9
keygen-wall-p95-ns: 105007320215.0
keygen-wall-p99-ns: 105007320215.0
keygen-wall-ci95lo-ns: 36653385149.4
keygen-wall-ci95hi-ns: 86338169725.4
keygen-cyc-median: 3188149269.0
keygen-cyc-mean: 3320771968.8
keygen-persec: 0.0
pss-sign-iters: 100
pss-sign-wall-median-ns: 227848240.0
pss-sign-wall-mean-ns: 228826531.9
pss-sign-wall-std-ns: 2992491.7
pss-sign-wall-p95-ns: 230694518.0
pss-sign-wall-p99-ns: 244503222.0
pss-sign-wall-ci95lo-ns: 228240003.5
pss-sign-wall-ci95hi-ns: 229413060.2
pss-sign-cyc-median: 12303797.0
pss-sign-cyc-mean: 12356621.6
pss-sign-persec: 4.4
pss-verify-iters: 100
pss-verify-wall-median-ns: 1813926.0
pss-verify-wall-mean-ns: 1795718.3
pss-verify-wall-std-ns: 42796.4
pss-verify-wall-p95-ns: 1855278.0
pss-verify-wall-p99-ns: 1860852.0
pss-verify-wall-ci95lo-ns: 1787330.2
pss-verify-wall-ci95hi-ns: 1804106.4
pss-verify-cyc-median: 97947.0
pss-verify-cyc-mean: 96963.6
pss-verify-persec: 551.3
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 1771019.0
oaep-encrypt-wall-mean-ns: 1795118.9
oaep-encrypt-wall-std-ns: 46178.4
oaep-encrypt-wall-p95-ns: 1877833.0
oaep-encrypt-wall-p99-ns: 1878093.0
oaep-encrypt-wall-ci95lo-ns: 1786067.9
oaep-encrypt-wall-ci95hi-ns: 1804169.9
oaep-encrypt-cyc-median: 95630.0
oaep-encrypt-cyc-mean: 96931.4
oaep-encrypt-persec: 564.6
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 227852925.0
oaep-decrypt-wall-mean-ns: 228954367.9
oaep-decrypt-wall-std-ns: 3185165.9
oaep-decrypt-wall-p95-ns: 230781111.0
oaep-decrypt-wall-p99-ns: 244764296.0
oaep-decrypt-wall-ci95lo-ns: 228330075.4
oaep-decrypt-wall-ci95hi-ns: 229578660.5
oaep-decrypt-cyc-median: 12304029.0
oaep-decrypt-cyc-mean: 12363526.2
oaep-decrypt-persec: 4.4
size-key-bits: 7680
size-signature-bytes: 960
