openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-7680
key-size: 7680
keygen-iters: 5
keygen-wall-median-ns: 78254858286.0
keygen-wall-mean-ns: 65533467038.8
keygen-wall-std-ns: 41588656271.3
keygen-wall-p95-ns: 113270896988.0
keygen-wall-p99-ns: 113270896988.0
keygen-wall-ci95lo-ns: 29079402532.8
keygen-wall-ci95hi-ns: 101987531544.8
keygen-cyc-median: 4225762338.0
keygen-cyc-mean: 3538807206.2
keygen-persec: 0.0
pss-sign-iters: 100
pss-sign-wall-median-ns: 227947537.0
pss-sign-wall-mean-ns: 228449355.6
pss-sign-wall-std-ns: 2905760.7
pss-sign-wall-p95-ns: 228005500.0
pss-sign-wall-p99-ns: 244888036.0
pss-sign-wall-ci95lo-ns: 227879826.5
pss-sign-wall-ci95hi-ns: 229018884.7
pss-sign-cyc-median: 12309159.0
pss-sign-cyc-mean: 12336255.3
pss-sign-persec: 4.4
pss-verify-iters: 100
pss-verify-wall-median-ns: 1745944.0
pss-verify-wall-mean-ns: 1750113.0
pss-verify-wall-std-ns: 5104.0
pss-verify-wall-p95-ns: 1755926.0
pss-verify-wall-p99-ns: 1760537.0
pss-verify-wall-ci95lo-ns: 1749112.6
pss-verify-wall-ci95hi-ns: 1751113.4
pss-verify-cyc-median: 94277.0
pss-verify-cyc-mean: 94501.1
pss-verify-persec: 572.8
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 1763223.0
oaep-encrypt-wall-mean-ns: 1766656.8
oaep-encrypt-wall-std-ns: 4565.2
oaep-encrypt-wall-p95-ns: 1771926.0
oaep-encrypt-wall-p99-ns: 1776833.0
oaep-encrypt-wall-ci95lo-ns: 1765762.0
oaep-encrypt-wall-ci95hi-ns: 1767551.6
oaep-encrypt-cyc-median: 95210.0
oaep-encrypt-cyc-mean: 95394.4
oaep-encrypt-persec: 567.1
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 227910870.0
oaep-decrypt-wall-mean-ns: 228412043.4
oaep-decrypt-wall-std-ns: 2922601.6
oaep-decrypt-wall-p95-ns: 227980703.0
oaep-decrypt-wall-p99-ns: 244956704.0
oaep-decrypt-wall-ci95lo-ns: 227839213.5
oaep-decrypt-wall-ci95hi-ns: 228984873.3
oaep-decrypt-cyc-median: 12307180.0
oaep-decrypt-cyc-mean: 12334241.1
oaep-decrypt-persec: 4.4
size-key-bits: 7680
size-signature-bytes: 960
