openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-7680
key-size: 7680
keygen-iters: 5
keygen-wall-median-ns: 27617559261.0
keygen-wall-mean-ns: 35303866534.6
keygen-wall-std-ns: 22065738379.0
keygen-wall-p95-ns: 63837228777.0
keygen-wall-p99-ns: 63837228777.0
keygen-wall-ci95lo-ns: 15962394066.9
keygen-wall-ci95hi-ns: 54645339002.3
keygen-cyc-median: 1491348172.0
keygen-cyc-mean: 1906408773.6
keygen-persec: 0.0
pss-sign-iters: 100
pss-sign-wall-median-ns: 227736814.0
pss-sign-wall-mean-ns: 228260491.5
pss-sign-wall-std-ns: 2909700.7
pss-sign-wall-p95-ns: 228081629.0
pss-sign-wall-p99-ns: 244761667.0
pss-sign-wall-ci95lo-ns: 227690190.2
pss-sign-wall-ci95hi-ns: 228830792.9
pss-sign-cyc-median: 12297781.0
pss-sign-cyc-mean: 12326055.3
pss-sign-persec: 4.4
pss-verify-iters: 100
pss-verify-wall-median-ns: 1746704.0
pss-verify-wall-mean-ns: 1750409.6
pss-verify-wall-std-ns: 4966.9
pss-verify-wall-p95-ns: 1756259.0
pss-verify-wall-p99-ns: 1759944.0
pss-verify-wall-ci95lo-ns: 1749436.1
pss-verify-wall-ci95hi-ns: 1751383.2
pss-verify-cyc-median: 94317.0
pss-verify-cyc-mean: 94517.2
pss-verify-persec: 572.5
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 1764241.0
oaep-encrypt-wall-mean-ns: 1767585.0
oaep-encrypt-wall-std-ns: 5828.2
oaep-encrypt-wall-p95-ns: 1774759.0
oaep-encrypt-wall-p99-ns: 1791334.0
oaep-encrypt-wall-ci95lo-ns: 1766442.7
oaep-encrypt-wall-ci95hi-ns: 1768727.3
oaep-encrypt-cyc-median: 95263.0
oaep-encrypt-cyc-mean: 95444.4
oaep-encrypt-persec: 566.8
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 227927888.0
oaep-decrypt-wall-mean-ns: 228453440.2
oaep-decrypt-wall-std-ns: 2938596.0
oaep-decrypt-wall-p95-ns: 228094371.0
oaep-decrypt-wall-p99-ns: 244994722.0
oaep-decrypt-wall-ci95lo-ns: 227877475.4
oaep-decrypt-wall-ci95hi-ns: 229029405.0
oaep-decrypt-cyc-median: 12308098.0
oaep-decrypt-cyc-mean: 12336476.9
oaep-decrypt-persec: 4.4
size-key-bits: 7680
size-signature-bytes: 960
