openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-7680
key-size: 7680
keygen-iters: 5
keygen-wall-median-ns: 34832427572.0
keygen-wall-mean-ns: 34169837335.4
keygen-wall-std-ns: 23292526426.3
keygen-wall-p95-ns: 69023343366.0
keygen-wall-p99-ns: 69023343366.0
keygen-wall-ci95lo-ns: 13753037732.2
keygen-wall-ci95hi-ns: 54586636938.6
keygen-cyc-median: 1880951079.0
keygen-cyc-mean: 1845171201.0
keygen-persec: 0.0
pss-sign-iters: 100
pss-sign-wall-median-ns: 227783759.0
pss-sign-wall-mean-ns: 228294612.3
pss-sign-wall-std-ns: 2903063.1
pss-sign-wall-p95-ns: 227828148.0
pss-sign-wall-p99-ns: 244715278.0
pss-sign-wall-ci95lo-ns: 227725612.0
pss-sign-wall-ci95hi-ns: 228863612.7
pss-sign-cyc-median: 12300315.0
pss-sign-cyc-mean: 12327898.5
pss-sign-persec: 4.4
pss-verify-iters: 100
pss-verify-wall-median-ns: 1746407.0
pss-verify-wall-mean-ns: 1750240.8
pss-verify-wall-std-ns: 5170.6
pss-verify-wall-p95-ns: 1756074.0
pss-verify-wall-p99-ns: 1760667.0
pss-verify-wall-ci95lo-ns: 1749227.3
pss-verify-wall-ci95hi-ns: 1751254.2
pss-verify-cyc-median: 94303.0
pss-verify-cyc-mean: 94508.0
pss-verify-persec: 572.6
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 1763981.0
oaep-encrypt-wall-mean-ns: 1767128.6
oaep-encrypt-wall-std-ns: 4456.2
oaep-encrypt-wall-p95-ns: 1772852.0
oaep-encrypt-wall-p99-ns: 1776759.0
oaep-encrypt-wall-ci95lo-ns: 1766255.2
oaep-encrypt-wall-ci95hi-ns: 1768002.0
oaep-encrypt-cyc-median: 95250.0
oaep-encrypt-cyc-mean: 95419.9
oaep-encrypt-persec: 566.9
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 228104407.0
oaep-decrypt-wall-mean-ns: 228571376.5
oaep-decrypt-wall-std-ns: 2918237.7
oaep-decrypt-wall-p95-ns: 228154222.0
oaep-decrypt-wall-p99-ns: 245090000.0
oaep-decrypt-wall-ci95lo-ns: 227999401.9
oaep-decrypt-wall-ci95hi-ns: 229143351.1
oaep-decrypt-cyc-median: 12317631.0
oaep-decrypt-cyc-mean: 12342845.4
oaep-decrypt-persec: 4.4
size-key-bits: 7680
size-signature-bytes: 960
