openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-3072
key-size: 3072
keygen-iters: 1000
keygen-wall-median-ns: 104606131.0
keygen-wall-mean-ns: 120696950.4
keygen-wall-std-ns: 74933247.5
keygen-wall-p95-ns: 265718094.0
keygen-wall-p99-ns: 356351938.0
keygen-wall-ci95lo-ns: 116052539.6
keygen-wall-ci95hi-ns: 125341361.2
keygen-cyc-median: 281181208.0
keygen-cyc-mean: 324433322.6
keygen-persec: 9.6
pss-sign-iters: 1000
pss-sign-wall-median-ns: 1326978.0
pss-sign-wall-mean-ns: 1338920.6
pss-sign-wall-std-ns: 65653.9
pss-sign-wall-p95-ns: 1333410.0
pss-sign-wall-p99-ns: 1707074.0
pss-sign-wall-ci95lo-ns: 1334851.4
pss-sign-wall-ci95hi-ns: 1342989.9
pss-sign-cyc-median: 3566850.0
pss-sign-cyc-mean: 3598957.7
pss-sign-persec: 753.6
pss-verify-iters: 1000
pss-verify-wall-median-ns: 29190.0
pss-verify-wall-mean-ns: 29250.3
pss-verify-wall-std-ns: 355.1
pss-verify-wall-p95-ns: 29423.0
pss-verify-wall-p99-ns: 30549.0
pss-verify-wall-ci95lo-ns: 29228.3
pss-verify-wall-ci95hi-ns: 29272.3
pss-verify-cyc-median: 78408.0
pss-verify-cyc-mean: 78568.4
pss-verify-persec: 34258.3
oaep-encrypt-iters: 1000
oaep-encrypt-wall-median-ns: 29764.0
oaep-encrypt-wall-mean-ns: 29794.4
oaep-encrypt-wall-std-ns: 219.2
oaep-encrypt-wall-p95-ns: 29962.0
oaep-encrypt-wall-p99-ns: 30937.0
oaep-encrypt-wall-ci95lo-ns: 29780.8
oaep-encrypt-wall-ci95hi-ns: 29808.0
oaep-encrypt-cyc-median: 79952.0
oaep-encrypt-cyc-mean: 80032.3
oaep-encrypt-persec: 33597.6
oaep-decrypt-iters: 1000
oaep-decrypt-wall-median-ns: 1328578.0
oaep-decrypt-wall-mean-ns: 1340427.4
oaep-decrypt-wall-std-ns: 65898.9
oaep-decrypt-wall-p95-ns: 1333344.0
oaep-decrypt-wall-p99-ns: 1710892.0
oaep-decrypt-wall-ci95lo-ns: 1336342.9
oaep-decrypt-wall-ci95hi-ns: 1344511.8
oaep-decrypt-cyc-median: 3571158.0
oaep-decrypt-cyc-mean: 3603004.6
oaep-decrypt-persec: 752.7
size-key-bits: 3072
size-signature-bytes: 384
