openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-3072
key-size: 3072
keygen-iters: 1000
keygen-wall-median-ns: 99025557.0
keygen-wall-mean-ns: 118262089.2
keygen-wall-std-ns: 76713940.5
keygen-wall-p95-ns: 269983573.0
keygen-wall-p99-ns: 374636937.0
keygen-wall-ci95lo-ns: 113507309.9
keygen-wall-ci95hi-ns: 123016868.5
keygen-cyc-median: 266180594.0
keygen-cyc-mean: 317888409.6
keygen-persec: 10.1
pss-sign-iters: 1000
pss-sign-wall-median-ns: 1327006.0
pss-sign-wall-mean-ns: 1338975.8
pss-sign-wall-std-ns: 65861.4
pss-sign-wall-p95-ns: 1332875.0
pss-sign-wall-p99-ns: 1707906.0
pss-sign-wall-ci95lo-ns: 1334893.7
pss-sign-wall-ci95hi-ns: 1343057.9
pss-sign-cyc-median: 3566908.0
pss-sign-cyc-mean: 3599085.5
pss-sign-persec: 753.6
pss-verify-iters: 1000
pss-verify-wall-median-ns: 29228.0
pss-verify-wall-mean-ns: 29262.4
pss-verify-wall-std-ns: 230.2
pss-verify-wall-p95-ns: 29427.0
pss-verify-wall-p99-ns: 30453.0
pss-verify-wall-ci95lo-ns: 29248.2
pss-verify-wall-ci95hi-ns: 29276.7
pss-verify-cyc-median: 78504.0
pss-verify-cyc-mean: 78597.9
pss-verify-persec: 34213.8
oaep-encrypt-iters: 1000
oaep-encrypt-wall-median-ns: 29775.0
oaep-encrypt-wall-mean-ns: 29809.7
oaep-encrypt-wall-std-ns: 229.9
oaep-encrypt-wall-p95-ns: 29983.0
oaep-encrypt-wall-p99-ns: 30980.0
oaep-encrypt-wall-ci95lo-ns: 29795.4
oaep-encrypt-wall-ci95hi-ns: 29823.9
oaep-encrypt-cyc-median: 79980.0
oaep-encrypt-cyc-mean: 80071.9
oaep-encrypt-persec: 33585.2
oaep-decrypt-iters: 1000
oaep-decrypt-wall-median-ns: 1328794.0
oaep-decrypt-wall-mean-ns: 1340808.3
oaep-decrypt-wall-std-ns: 65800.8
oaep-decrypt-wall-p95-ns: 1335870.0
oaep-decrypt-wall-p99-ns: 1711001.0
oaep-decrypt-wall-ci95lo-ns: 1336729.9
oaep-decrypt-wall-ci95hi-ns: 1344886.7
oaep-decrypt-cyc-median: 3571734.0
oaep-decrypt-cyc-mean: 3604027.5
oaep-decrypt-persec: 752.6
size-key-bits: 3072
size-signature-bytes: 384
