openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-3072
key-size: 3072
keygen-iters: 1000
keygen-wall-median-ns: 102869121.0
keygen-wall-mean-ns: 121566123.3
keygen-wall-std-ns: 77955948.8
keygen-wall-p95-ns: 265807684.0
keygen-wall-p99-ns: 401909279.0
keygen-wall-ci95lo-ns: 116734363.5
keygen-wall-ci95hi-ns: 126397883.0
keygen-cyc-median: 276512100.0
keygen-cyc-mean: 326769650.7
keygen-persec: 9.7
pss-sign-iters: 1000
pss-sign-wall-median-ns: 1327056.0
pss-sign-wall-mean-ns: 1339062.3
pss-sign-wall-std-ns: 65540.2
pss-sign-wall-p95-ns: 1334760.0
pss-sign-wall-p99-ns: 1706532.0
pss-sign-wall-ci95lo-ns: 1335000.1
pss-sign-wall-ci95hi-ns: 1343124.5
pss-sign-cyc-median: 3567066.0
pss-sign-cyc-mean: 3599336.4
pss-sign-persec: 753.5
pss-verify-iters: 1000
pss-verify-wall-median-ns: 29209.0
pss-verify-wall-mean-ns: 29243.1
pss-verify-wall-std-ns: 239.7
pss-verify-wall-p95-ns: 29399.0
pss-verify-wall-p99-ns: 30459.0
pss-verify-wall-ci95lo-ns: 29228.3
pss-verify-wall-ci95hi-ns: 29258.0
pss-verify-cyc-median: 78458.0
pss-verify-cyc-mean: 78549.3
pss-verify-persec: 34236.0
oaep-encrypt-iters: 1000
oaep-encrypt-wall-median-ns: 29772.0
oaep-encrypt-wall-mean-ns: 29798.5
oaep-encrypt-wall-std-ns: 215.8
oaep-encrypt-wall-p95-ns: 29954.0
oaep-encrypt-wall-p99-ns: 30929.0
oaep-encrypt-wall-ci95lo-ns: 29785.1
oaep-encrypt-wall-ci95hi-ns: 29811.9
oaep-encrypt-cyc-median: 79972.0
oaep-encrypt-cyc-mean: 80043.3
oaep-encrypt-persec: 33588.6
oaep-decrypt-iters: 1000
oaep-decrypt-wall-median-ns: 1329239.0
oaep-decrypt-wall-mean-ns: 1341145.6
oaep-decrypt-wall-std-ns: 65647.1
oaep-decrypt-wall-p95-ns: 1335771.0
oaep-decrypt-wall-p99-ns: 1711649.0
oaep-decrypt-wall-ci95lo-ns: 1337076.7
oaep-decrypt-wall-ci95hi-ns: 1345214.4
oaep-decrypt-cyc-median: 3572936.0
oaep-decrypt-cyc-mean: 3604938.3
oaep-decrypt-persec: 752.3
size-key-bits: 3072
size-signature-bytes: 384
