openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-65
keygen-iters: 1000
keygen-wall-median-ns: 125677.0
keygen-wall-mean-ns: 125997.3
keygen-wall-std-ns: 2106.6
keygen-wall-p95-ns: 127905.0
keygen-wall-p99-ns: 132580.0
keygen-wall-ci95lo-ns: 125866.8
keygen-wall-ci95hi-ns: 126127.9
keygen-cyc-median: 337752.0
keygen-cyc-mean: 338611.0
keygen-persec: 7956.9
sign-iters: 1000
sign-wall-median-ns: 496400.0
sign-wall-mean-ns: 585245.6
sign-wall-std-ns: 417060.1
sign-wall-p95-ns: 1365192.0
sign-wall-p99-ns: 2215491.0
sign-wall-ci95lo-ns: 559396.0
sign-wall-ci95hi-ns: 611095.3
sign-cyc-median: 1334256.0
sign-cyc-mean: 1573073.5
sign-persec: 2014.5
verify-iters: 1000
verify-wall-median-ns: 117246.0
verify-wall-mean-ns: 117341.8
verify-wall-std-ns: 1216.0
verify-wall-p95-ns: 118517.0
verify-wall-p99-ns: 120166.0
verify-wall-ci95lo-ns: 117266.4
verify-wall-ci95hi-ns: 117417.2
verify-cyc-median: 315094.0
verify-cyc-mean: 315349.2
verify-persec: 8529.1
size-key-bits: 15616
size-pubkey-bytes: 1952
size-privkey-bytes: 4032
size-signature-bytes: 3309
