openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-65
keygen-iters: 1000
keygen-wall-median-ns: 125870.0
keygen-wall-mean-ns: 126189.0
keygen-wall-std-ns: 4368.9
keygen-wall-p95-ns: 127750.0
keygen-wall-p99-ns: 129430.0
keygen-wall-ci95lo-ns: 125918.2
keygen-wall-ci95hi-ns: 126459.7
keygen-cyc-median: 338268.0
keygen-cyc-mean: 339127.4
keygen-persec: 7944.7
sign-iters: 1000
sign-wall-median-ns: 497852.0
sign-wall-mean-ns: 606602.6
sign-wall-std-ns: 440058.0
sign-wall-p95-ns: 1446735.0
sign-wall-p99-ns: 2291669.0
sign-wall-ci95lo-ns: 579327.5
sign-wall-ci95hi-ns: 633877.7
sign-cyc-median: 1338154.0
sign-cyc-mean: 1630482.5
sign-persec: 2008.6
verify-iters: 1000
verify-wall-median-ns: 117132.0
verify-wall-mean-ns: 117185.6
verify-wall-std-ns: 714.9
verify-wall-p95-ns: 118280.0
verify-wall-p99-ns: 118875.0
verify-wall-ci95lo-ns: 117141.3
verify-wall-ci95hi-ns: 117229.9
verify-cyc-median: 314788.0
verify-cyc-mean: 314933.3
verify-persec: 8537.4
size-key-bits: 15616
size-pubkey-bytes: 1952
size-privkey-bytes: 4032
size-signature-bytes: 3309
