openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-521
keygen-iters: 1000
keygen-wall-median-ns: 1104722.0
keygen-wall-mean-ns: 1107029.5
keygen-wall-std-ns: 11051.2
keygen-wall-p95-ns: 1116734.0
keygen-wall-p99-ns: 1172414.0
keygen-wall-ci95lo-ns: 1106344.5
keygen-wall-ci95hi-ns: 1107714.4
keygen-cyc-median: 2969432.0
keygen-cyc-mean: 2975630.4
keygen-persec: 905.2
sign-iters: 1000
sign-wall-median-ns: 1160500.0
sign-wall-mean-ns: 1161169.8
sign-wall-std-ns: 3986.2
sign-wall-p95-ns: 1167687.0
sign-wall-p99-ns: 1176839.0
sign-wall-ci95lo-ns: 1160922.8
sign-wall-ci95hi-ns: 1161416.9
sign-cyc-median: 3119364.0
sign-cyc-mean: 3121160.9
sign-persec: 861.7
verify-iters: 1000
verify-wall-median-ns: 922376.0
verify-wall-mean-ns: 923487.1
verify-wall-std-ns: 4831.2
verify-wall-p95-ns: 932329.0
verify-wall-p99-ns: 941797.0
verify-wall-ci95lo-ns: 923187.7
verify-wall-ci95hi-ns: 923786.6
verify-cyc-median: 2479286.0
verify-cyc-mean: 2482270.7
verify-persec: 1084.2
size-key-bits: 521
size-pubkey-bytes: 133
size-signature-max-bytes: 139
