openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-521
keygen-iters: 1000
keygen-wall-median-ns: 1104174.0
keygen-wall-mean-ns: 1104794.6
keygen-wall-std-ns: 3462.9
keygen-wall-p95-ns: 1110504.0
keygen-wall-p99-ns: 1119906.0
keygen-wall-ci95lo-ns: 1104580.0
keygen-wall-ci95hi-ns: 1105009.2
keygen-cyc-median: 2967960.0
keygen-cyc-mean: 2969622.7
keygen-persec: 905.7
sign-iters: 1000
sign-wall-median-ns: 1161402.0
sign-wall-mean-ns: 1162157.7
sign-wall-std-ns: 4365.3
sign-wall-p95-ns: 1168796.0
sign-wall-p99-ns: 1180364.0
sign-wall-ci95lo-ns: 1161887.2
sign-wall-ci95hi-ns: 1162428.3
sign-cyc-median: 3121788.0
sign-cyc-mean: 3123813.8
sign-persec: 861.0
verify-iters: 1000
verify-wall-median-ns: 922935.0
verify-wall-mean-ns: 923445.4
verify-wall-std-ns: 3195.5
verify-wall-p95-ns: 927711.0
verify-wall-p99-ns: 938960.0
verify-wall-ci95lo-ns: 923247.4
verify-wall-ci95hi-ns: 923643.5
verify-cyc-median: 2480794.0
verify-cyc-mean: 2482158.7
verify-persec: 1083.5
size-key-bits: 521
size-pubkey-bytes: 133
size-signature-max-bytes: 139
