openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-521
keygen-iters: 1000
keygen-wall-median-ns: 1106044.0
keygen-wall-mean-ns: 1107842.1
keygen-wall-std-ns: 9751.9
keygen-wall-p95-ns: 1115725.0
keygen-wall-p99-ns: 1174077.0
keygen-wall-ci95lo-ns: 1107237.7
keygen-wall-ci95hi-ns: 1108446.6
keygen-cyc-median: 2972978.0
keygen-cyc-mean: 2977815.0
keygen-persec: 904.1
sign-iters: 1000
sign-wall-median-ns: 1164377.0
sign-wall-mean-ns: 1186754.9
sign-wall-std-ns: 44456.2
sign-wall-p95-ns: 1277002.0
sign-wall-p99-ns: 1350412.0
sign-wall-ci95lo-ns: 1183999.5
sign-wall-ci95hi-ns: 1189510.4
sign-cyc-median: 3129792.0
sign-cyc-mean: 3189935.9
sign-persec: 858.8
verify-iters: 1000
verify-wall-median-ns: 928719.0
verify-wall-mean-ns: 929320.3
verify-wall-std-ns: 4151.0
verify-wall-p95-ns: 933871.0
verify-wall-p99-ns: 948131.0
verify-wall-ci95lo-ns: 929063.1
verify-wall-ci95hi-ns: 929577.6
verify-cyc-median: 2496336.0
verify-cyc-mean: 2497948.5
verify-persec: 1076.8
size-key-bits: 521
size-pubkey-bytes: 133
size-signature-max-bytes: 139
