openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-3072
key-size: 3072
keygen-iters: 1000
keygen-wall-median-ns: 101477483.0
keygen-wall-mean-ns: 120040633.3
keygen-wall-std-ns: 76655559.1
keygen-wall-p95-ns: 267842898.0
keygen-wall-p99-ns: 360815026.0
keygen-wall-ci95lo-ns: 115289472.5
keygen-wall-ci95hi-ns: 124791794.0
keygen-cyc-median: 272771410.0
keygen-cyc-mean: 322669140.1
keygen-persec: 9.9
pss-sign-iters: 1000
pss-sign-wall-median-ns: 1327368.0
pss-sign-wall-mean-ns: 1339359.5
pss-sign-wall-std-ns: 65843.8
pss-sign-wall-p95-ns: 1333387.0
pss-sign-wall-p99-ns: 1709619.0
pss-sign-wall-ci95lo-ns: 1335278.5
pss-sign-wall-ci95hi-ns: 1343440.6
pss-sign-cyc-median: 3567900.0
pss-sign-cyc-mean: 3600133.0
pss-sign-persec: 753.4
pss-verify-iters: 1000
pss-verify-wall-median-ns: 29208.0
pss-verify-wall-mean-ns: 29247.2
pss-verify-wall-std-ns: 238.0
pss-verify-wall-p95-ns: 29441.0
pss-verify-wall-p99-ns: 30460.0
pss-verify-wall-ci95lo-ns: 29232.5
pss-verify-wall-ci95hi-ns: 29262.0
pss-verify-cyc-median: 78454.0
pss-verify-cyc-mean: 78560.2
pss-verify-persec: 34237.2
oaep-encrypt-iters: 1000
oaep-encrypt-wall-median-ns: 29734.0
oaep-encrypt-wall-mean-ns: 29771.5
oaep-encrypt-wall-std-ns: 226.0
oaep-encrypt-wall-p95-ns: 29939.0
oaep-encrypt-wall-p99-ns: 30890.0
oaep-encrypt-wall-ci95lo-ns: 29757.5
oaep-encrypt-wall-ci95hi-ns: 29785.5
oaep-encrypt-cyc-median: 79872.0
oaep-encrypt-cyc-mean: 79971.1
oaep-encrypt-persec: 33631.5
oaep-decrypt-iters: 1000
oaep-decrypt-wall-median-ns: 1328738.0
oaep-decrypt-wall-mean-ns: 1340810.8
oaep-decrypt-wall-std-ns: 65824.6
oaep-decrypt-wall-p95-ns: 1336522.0
oaep-decrypt-wall-p99-ns: 1710651.0
oaep-decrypt-wall-ci95lo-ns: 1336731.0
oaep-decrypt-wall-ci95hi-ns: 1344890.7
oaep-decrypt-cyc-median: 3571584.0
oaep-decrypt-cyc-mean: 3604035.7
oaep-decrypt-persec: 752.6
size-key-bits: 3072
size-signature-bytes: 384
