openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-768
keygen-iters: 1000
keygen-wall-median-ns: 26271.0
keygen-wall-mean-ns: 28218.2
keygen-wall-std-ns: 8468.3
keygen-wall-p95-ns: 48119.0
keygen-wall-p99-ns: 48681.0
keygen-wall-ci95lo-ns: 27693.3
keygen-wall-ci95hi-ns: 28743.0
keygen-cyc-median: 70552.0
keygen-cyc-mean: 75775.5
keygen-persec: 38064.8
encap-iters: 1000
encap-wall-median-ns: 14629.0
encap-wall-mean-ns: 14733.5
encap-wall-std-ns: 403.3
encap-wall-p95-ns: 15364.0
encap-wall-p99-ns: 16030.0
encap-wall-ci95lo-ns: 14708.5
encap-wall-ci95hi-ns: 14758.5
encap-cyc-median: 39262.0
encap-cyc-mean: 39542.9
encap-persec: 68357.4
decap-iters: 1000
decap-wall-median-ns: 22908.0
decap-wall-mean-ns: 22970.0
decap-wall-std-ns: 412.2
decap-wall-p95-ns: 23177.0
decap-wall-p99-ns: 24465.0
decap-wall-ci95lo-ns: 22944.5
decap-wall-ci95hi-ns: 22995.6
decap-cyc-median: 61520.0
decap-cyc-mean: 61684.3
decap-persec: 43652.9
size-key-bits: 768
size-pubkey-bytes: 1184
size-privkey-bytes: 2400
size-ciphertext-bytes: 1088
size-shared-secret-bytes: 32
