openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-768
keygen-iters: 1000
keygen-wall-median-ns: 26372.0
keygen-wall-mean-ns: 26527.4
keygen-wall-std-ns: 1819.9
keygen-wall-p95-ns: 27380.0
keygen-wall-p99-ns: 28349.0
keygen-wall-ci95lo-ns: 26414.6
keygen-wall-ci95hi-ns: 26640.2
keygen-cyc-median: 70830.0
keygen-cyc-mean: 71247.8
keygen-persec: 37919.0
encap-iters: 1000
encap-wall-median-ns: 14610.0
encap-wall-mean-ns: 14659.5
encap-wall-std-ns: 433.7
encap-wall-p95-ns: 14790.0
encap-wall-p99-ns: 16161.0
encap-wall-ci95lo-ns: 14632.6
encap-wall-ci95hi-ns: 14686.4
encap-cyc-median: 39218.0
encap-cyc-mean: 39349.3
encap-persec: 68446.3
decap-iters: 1000
decap-wall-median-ns: 22906.0
decap-wall-mean-ns: 23021.0
decap-wall-std-ns: 704.0
decap-wall-p95-ns: 24014.0
decap-wall-p99-ns: 24683.0
decap-wall-ci95lo-ns: 22977.4
decap-wall-ci95hi-ns: 23064.7
decap-cyc-median: 61516.0
decap-cyc-mean: 61824.5
decap-persec: 43656.7
size-key-bits: 768
size-pubkey-bytes: 1184
size-privkey-bytes: 2400
size-ciphertext-bytes: 1088
size-shared-secret-bytes: 32
