openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-768
keygen-iters: 1000
keygen-wall-median-ns: 26299.0
keygen-wall-mean-ns: 27135.7
keygen-wall-std-ns: 4918.7
keygen-wall-p95-ns: 27905.0
keygen-wall-p99-ns: 48691.0
keygen-wall-ci95lo-ns: 26830.8
keygen-wall-ci95hi-ns: 27440.5
keygen-cyc-median: 70638.0
keygen-cyc-mean: 72874.7
keygen-persec: 38024.3
encap-iters: 1000
encap-wall-median-ns: 14637.0
encap-wall-mean-ns: 14683.9
encap-wall-std-ns: 712.8
encap-wall-p95-ns: 14796.0
encap-wall-p99-ns: 15927.0
encap-wall-ci95lo-ns: 14639.7
encap-wall-ci95hi-ns: 14728.0
encap-cyc-median: 39288.0
encap-cyc-mean: 39414.6
encap-persec: 68320.0
decap-iters: 1000
decap-wall-median-ns: 22921.0
decap-wall-mean-ns: 23015.1
decap-wall-std-ns: 516.4
decap-wall-p95-ns: 23941.0
decap-wall-p99-ns: 24706.0
decap-wall-ci95lo-ns: 22983.1
decap-wall-ci95hi-ns: 23047.1
decap-cyc-median: 61556.0
decap-cyc-mean: 61808.8
decap-persec: 43628.1
size-key-bits: 768
size-pubkey-bytes: 1184
size-privkey-bytes: 2400
size-ciphertext-bytes: 1088
size-shared-secret-bytes: 32
