openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-768
keygen-iters: 1000
keygen-wall-median-ns: 26368.0
keygen-wall-mean-ns: 26601.4
keygen-wall-std-ns: 931.7
keygen-wall-p95-ns: 27875.0
keygen-wall-p99-ns: 28461.0
keygen-wall-ci95lo-ns: 26543.6
keygen-wall-ci95hi-ns: 26659.1
keygen-cyc-median: 70816.0
keygen-cyc-mean: 71442.8
keygen-persec: 37924.8
encap-iters: 1000
encap-wall-median-ns: 14602.0
encap-wall-mean-ns: 14649.4
encap-wall-std-ns: 243.9
encap-wall-p95-ns: 14893.0
encap-wall-p99-ns: 16027.0
encap-wall-ci95lo-ns: 14634.3
encap-wall-ci95hi-ns: 14664.5
encap-cyc-median: 39190.0
encap-cyc-mean: 39320.3
encap-persec: 68483.8
decap-iters: 1000
decap-wall-median-ns: 22918.0
decap-wall-mean-ns: 22947.1
decap-wall-std-ns: 238.2
decap-wall-p95-ns: 23145.0
decap-wall-p99-ns: 24094.0
decap-wall-ci95lo-ns: 22932.3
decap-wall-ci95hi-ns: 22961.9
decap-cyc-median: 61546.0
decap-cyc-mean: 61625.9
decap-persec: 43633.8
size-key-bits: 768
size-pubkey-bytes: 1184
size-privkey-bytes: 2400
size-ciphertext-bytes: 1088
size-shared-secret-bytes: 32
