openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-256
keygen-iters: 1000
keygen-wall-median-ns: 11891.0
keygen-wall-mean-ns: 14945.3
keygen-wall-std-ns: 9322.9
keygen-wall-p95-ns: 25177.0
keygen-wall-p99-ns: 26414.0
keygen-wall-ci95lo-ns: 14367.5
keygen-wall-ci95hi-ns: 15523.2
keygen-cyc-median: 31884.0
keygen-cyc-mean: 40051.0
keygen-persec: 84097.2
sign-iters: 1000
sign-wall-median-ns: 16694.0
sign-wall-mean-ns: 16722.8
sign-wall-std-ns: 211.5
sign-wall-p95-ns: 16824.0
sign-wall-p99-ns: 17990.0
sign-wall-ci95lo-ns: 16709.7
sign-wall-ci95hi-ns: 16735.9
sign-cyc-median: 44804.0
sign-cyc-mean: 44880.6
sign-persec: 59901.8
verify-iters: 1000
verify-wall-median-ns: 52426.0
verify-wall-mean-ns: 52493.4
verify-wall-std-ns: 380.2
verify-wall-p95-ns: 53478.0
verify-wall-p99-ns: 54185.0
verify-wall-ci95lo-ns: 52469.8
verify-wall-ci95hi-ns: 52517.0
verify-cyc-median: 140856.0
verify-cyc-mean: 141038.2
verify-persec: 19074.5
size-key-bits: 256
size-pubkey-bytes: 65
size-signature-max-bytes: 72
