openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-256
keygen-iters: 1000
keygen-wall-median-ns: 11888.0
keygen-wall-mean-ns: 14981.9
keygen-wall-std-ns: 7244.6
keygen-wall-p95-ns: 25197.0
keygen-wall-p99-ns: 28151.0
keygen-wall-ci95lo-ns: 14532.8
keygen-wall-ci95hi-ns: 15430.9
keygen-cyc-median: 31890.0
keygen-cyc-mean: 40154.3
keygen-persec: 84118.4
sign-iters: 1000
sign-wall-median-ns: 16753.0
sign-wall-mean-ns: 16863.8
sign-wall-std-ns: 508.7
sign-wall-p95-ns: 17606.0
sign-wall-p99-ns: 18526.0
sign-wall-ci95lo-ns: 16832.3
sign-wall-ci95hi-ns: 16895.4
sign-cyc-median: 44962.0
sign-cyc-mean: 45261.1
sign-persec: 59690.8
verify-iters: 1000
verify-wall-median-ns: 52569.0
verify-wall-mean-ns: 52684.5
verify-wall-std-ns: 706.9
verify-wall-p95-ns: 53770.0
verify-wall-p99-ns: 54956.0
verify-wall-ci95lo-ns: 52640.6
verify-wall-ci95hi-ns: 52728.3
verify-cyc-median: 141240.0
verify-cyc-mean: 141549.4
verify-persec: 19022.6
size-key-bits: 256
size-pubkey-bytes: 65
size-signature-max-bytes: 72
