openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-768
keygen-iters: 1000
keygen-wall-median-ns: 153833.0
keygen-wall-mean-ns: 154563.5
keygen-wall-std-ns: 4889.6
keygen-wall-p95-ns: 156371.0
keygen-wall-p99-ns: 165389.0
keygen-wall-ci95lo-ns: 154260.4
keygen-wall-ci95hi-ns: 154866.5
keygen-cyc-median: 8299.0
keygen-cyc-mean: 8338.3
keygen-persec: 6500.6
encap-iters: 1000
encap-wall-median-ns: 85074.0
encap-wall-mean-ns: 85446.0
encap-wall-std-ns: 2574.0
encap-wall-p95-ns: 85871.0
encap-wall-p99-ns: 95556.0
encap-wall-ci95lo-ns: 85286.4
encap-wall-ci95hi-ns: 85605.5
encap-cyc-median: 4589.0
encap-cyc-mean: 4609.0
encap-persec: 11754.5
decap-iters: 1000
decap-wall-median-ns: 127315.0
decap-wall-mean-ns: 127667.0
decap-wall-std-ns: 1992.9
decap-wall-p95-ns: 127537.0
decap-wall-p99-ns: 137371.0
decap-wall-ci95lo-ns: 127543.5
decap-wall-ci95hi-ns: 127790.5
decap-cyc-median: 6871.0
decap-cyc-mean: 6889.9
decap-persec: 7854.5
size-key-bits: 768
size-pubkey-bytes: 1184
size-privkey-bytes: 2400
size-ciphertext-bytes: 1088
size-shared-secret-bytes: 32
