openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-768
keygen-iters: 1000
keygen-wall-median-ns: 153519.0
keygen-wall-mean-ns: 154152.9
keygen-wall-std-ns: 3612.8
keygen-wall-p95-ns: 156018.0
keygen-wall-p99-ns: 165148.0
keygen-wall-ci95lo-ns: 153928.9
keygen-wall-ci95hi-ns: 154376.8
keygen-cyc-median: 8284.0
keygen-cyc-mean: 8317.6
keygen-persec: 6513.9
encap-iters: 1000
encap-wall-median-ns: 84982.0
encap-wall-mean-ns: 85325.6
encap-wall-std-ns: 2373.1
encap-wall-p95-ns: 85648.0
encap-wall-p99-ns: 95037.0
encap-wall-ci95lo-ns: 85178.5
encap-wall-ci95hi-ns: 85472.7
encap-cyc-median: 4585.0
encap-cyc-mean: 4603.2
encap-persec: 11767.2
decap-iters: 1000
decap-wall-median-ns: 126740.0
decap-wall-mean-ns: 127091.6
decap-wall-std-ns: 2022.1
decap-wall-p95-ns: 126963.0
decap-wall-p99-ns: 136759.0
decap-wall-ci95lo-ns: 126966.3
decap-wall-ci95hi-ns: 127217.0
decap-cyc-median: 6840.0
decap-cyc-mean: 6859.3
decap-persec: 7890.2
size-key-bits: 768
size-pubkey-bytes: 1184
size-privkey-bytes: 2400
size-ciphertext-bytes: 1088
size-shared-secret-bytes: 32
