openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-87
keygen-iters: 1000
keygen-wall-median-ns: 1110537.0
keygen-wall-mean-ns: 1117393.7
keygen-wall-std-ns: 32208.2
keygen-wall-p95-ns: 1126389.0
keygen-wall-p99-ns: 1280796.0
keygen-wall-ci95lo-ns: 1115397.4
keygen-wall-ci95hi-ns: 1119390.0
keygen-cyc-median: 59964.0
keygen-cyc-mean: 60333.1
keygen-persec: 900.5
sign-iters: 1000
sign-wall-median-ns: 4123519.0
sign-wall-mean-ns: 5000997.9
sign-wall-std-ns: 3141668.1
sign-wall-p95-ns: 10884500.0
sign-wall-p99-ns: 16664148.0
sign-wall-ci95lo-ns: 4806275.3
sign-wall-ci95hi-ns: 5195720.5
sign-cyc-median: 222665.0
sign-cyc-mean: 270047.9
sign-persec: 242.5
verify-iters: 1000
verify-wall-median-ns: 1224630.0
verify-wall-mean-ns: 1231985.4
verify-wall-std-ns: 31078.9
verify-wall-p95-ns: 1237167.0
verify-wall-p99-ns: 1391482.0
verify-wall-ci95lo-ns: 1230059.1
verify-wall-ci95hi-ns: 1233911.6
verify-cyc-median: 66124.0
verify-cyc-mean: 66520.6
verify-persec: 816.6
size-key-bits: 20736
size-pubkey-bytes: 2592
size-privkey-bytes: 4896
size-signature-bytes: 4627
