openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-87
keygen-iters: 1000
keygen-wall-median-ns: 1110574.0
keygen-wall-mean-ns: 1117239.0
keygen-wall-std-ns: 30113.9
keygen-wall-p95-ns: 1125629.0
keygen-wall-p99-ns: 1278092.0
keygen-wall-ci95lo-ns: 1115372.5
keygen-wall-ci95hi-ns: 1119105.4
keygen-cyc-median: 59965.0
keygen-cyc-mean: 60324.3
keygen-persec: 900.4
sign-iters: 1000
sign-wall-median-ns: 4123814.0
sign-wall-mean-ns: 5001210.5
sign-wall-std-ns: 3320008.9
sign-wall-p95-ns: 11845704.0
sign-wall-p99-ns: 15718797.0
sign-wall-ci95lo-ns: 4795434.2
sign-wall-ci95hi-ns: 5206986.7
sign-cyc-median: 222679.0
sign-cyc-mean: 270059.4
sign-persec: 242.5
verify-iters: 1000
verify-wall-median-ns: 1223334.0
verify-wall-mean-ns: 1225944.4
verify-wall-std-ns: 5687.1
verify-wall-p95-ns: 1232704.0
verify-wall-p99-ns: 1236963.0
verify-wall-ci95lo-ns: 1225592.0
verify-wall-ci95hi-ns: 1226296.9
verify-cyc-median: 66054.0
verify-cyc-mean: 66194.3
verify-persec: 817.4
size-key-bits: 20736
size-pubkey-bytes: 2592
size-privkey-bytes: 4896
size-signature-bytes: 4627
