openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdh-P-521
keygen-iters: 1000
keygen-wall-median-ns: 10404833.0
keygen-wall-mean-ns: 10455994.4
keygen-wall-std-ns: 208052.5
keygen-wall-p95-ns: 10678778.0
keygen-wall-p99-ns: 11599482.0
keygen-wall-ci95lo-ns: 10443099.2
keygen-wall-ci95hi-ns: 10468889.6
keygen-cyc-median: 561854.0
keygen-cyc-mean: 564616.1
keygen-persec: 96.1
derive-iters: 1000
derive-wall-median-ns: 10310370.0
derive-wall-mean-ns: 10341601.7
derive-wall-std-ns: 150321.7
derive-wall-p95-ns: 10467833.0
derive-wall-p99-ns: 11217018.0
derive-wall-ci95lo-ns: 10332284.6
derive-wall-ci95hi-ns: 10350918.7
derive-cyc-median: 556752.0
derive-cyc-mean: 558438.2
derive-persec: 97.0
size-key-bits: 521
size-pubkey-bytes: 133
