openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdh-P-521
keygen-iters: 1000
keygen-wall-median-ns: 10415278.0
keygen-wall-mean-ns: 10419140.2
keygen-wall-std-ns: 24538.4
keygen-wall-p95-ns: 10452760.0
keygen-wall-p99-ns: 10514815.0
keygen-wall-ci95lo-ns: 10417619.3
keygen-wall-ci95hi-ns: 10420661.1
keygen-cyc-median: 562418.0
keygen-cyc-mean: 562626.3
keygen-persec: 96.0
derive-iters: 1000
derive-wall-median-ns: 10320685.0
derive-wall-mean-ns: 10335418.3
derive-wall-std-ns: 82968.9
derive-wall-p95-ns: 10370481.0
derive-wall-p99-ns: 10727611.0
derive-wall-ci95lo-ns: 10330275.9
derive-wall-ci95hi-ns: 10340560.8
derive-cyc-median: 557309.0
derive-cyc-mean: 558104.3
derive-persec: 96.9
size-key-bits: 521
size-pubkey-bytes: 133
