openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-44
keygen-iters: 1000
keygen-wall-median-ns: 460981.0
keygen-wall-mean-ns: 467018.8
keygen-wall-std-ns: 25760.3
keygen-wall-p95-ns: 509185.0
keygen-wall-p99-ns: 585315.0
keygen-wall-ci95lo-ns: 465422.2
keygen-wall-ci95hi-ns: 468615.5
keygen-cyc-median: 24887.0
keygen-cyc-mean: 25213.1
keygen-persec: 2169.3
sign-iters: 1000
sign-wall-median-ns: 2012500.0
sign-wall-mean-ns: 2717948.7
sign-wall-std-ns: 1956641.9
sign-wall-p95-ns: 6836907.0
sign-wall-p99-ns: 9982685.0
sign-wall-ci95lo-ns: 2596674.8
sign-wall-ci95hi-ns: 2839222.6
sign-cyc-median: 108670.0
sign-cyc-mean: 146763.4
sign-persec: 496.9
verify-iters: 1000
verify-wall-median-ns: 523926.0
verify-wall-mean-ns: 530532.9
verify-wall-std-ns: 25930.3
verify-wall-p95-ns: 548704.0
verify-wall-p99-ns: 678407.0
verify-wall-ci95lo-ns: 528925.7
verify-wall-ci95hi-ns: 532140.1
verify-cyc-median: 28286.0
verify-cyc-mean: 28642.4
verify-persec: 1908.7
size-key-bits: 10496
size-pubkey-bytes: 1312
size-privkey-bytes: 2560
size-signature-bytes: 2420
