openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-44
keygen-iters: 1000
keygen-wall-median-ns: 460888.0
keygen-wall-mean-ns: 462142.5
keygen-wall-std-ns: 9352.1
keygen-wall-p95-ns: 471871.0
keygen-wall-p99-ns: 476241.0
keygen-wall-ci95lo-ns: 461562.8
keygen-wall-ci95hi-ns: 462722.1
keygen-cyc-median: 24881.0
keygen-cyc-mean: 24948.4
keygen-persec: 2169.7
sign-iters: 1000
sign-wall-median-ns: 2019352.0
sign-wall-mean-ns: 2816145.3
sign-wall-std-ns: 2021098.6
sign-wall-p95-ns: 6827482.0
sign-wall-p99-ns: 9353777.0
sign-wall-ci95lo-ns: 2690876.3
sign-wall-ci95hi-ns: 2941414.3
sign-cyc-median: 109036.0
sign-cyc-mean: 152064.6
sign-persec: 495.2
verify-iters: 1000
verify-wall-median-ns: 523389.0
verify-wall-mean-ns: 525043.2
verify-wall-std-ns: 4960.5
verify-wall-p95-ns: 533222.0
verify-wall-p99-ns: 536240.0
verify-wall-ci95lo-ns: 524735.8
verify-wall-ci95hi-ns: 525350.7
verify-cyc-median: 28257.0
verify-cyc-mean: 28346.1
verify-persec: 1910.6
size-key-bits: 10496
size-pubkey-bytes: 1312
size-privkey-bytes: 2560
size-signature-bytes: 2420
