openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-44
keygen-iters: 1000
keygen-wall-median-ns: 461371.0
keygen-wall-mean-ns: 462194.7
keygen-wall-std-ns: 4382.9
keygen-wall-p95-ns: 472019.0
keygen-wall-p99-ns: 475982.0
keygen-wall-ci95lo-ns: 461923.0
keygen-wall-ci95hi-ns: 462466.3
keygen-cyc-median: 24907.0
keygen-cyc-mean: 24951.1
keygen-persec: 2167.5
sign-iters: 1000
sign-wall-median-ns: 2015944.0
sign-wall-mean-ns: 2611035.7
sign-wall-std-ns: 1837620.5
sign-wall-p95-ns: 6053666.0
sign-wall-p99-ns: 9248019.0
sign-wall-ci95lo-ns: 2497138.8
sign-wall-ci95hi-ns: 2724932.6
sign-cyc-median: 108854.0
sign-cyc-mean: 140988.8
sign-persec: 496.0
verify-iters: 1000
verify-wall-median-ns: 523130.0
verify-wall-mean-ns: 524688.6
verify-wall-std-ns: 3920.3
verify-wall-p95-ns: 532852.0
verify-wall-p99-ns: 536500.0
verify-wall-ci95lo-ns: 524445.7
verify-wall-ci95hi-ns: 524931.6
verify-cyc-median: 28244.0
verify-cyc-mean: 28327.1
verify-persec: 1911.6
size-key-bits: 10496
size-pubkey-bytes: 1312
size-privkey-bytes: 2560
size-signature-bytes: 2420
